ALGORITHM  PRECISION  FT  NF  CPROCS  SPROCS  TPROCS  MATSIZE NODES  FL  FR  SPK-CP  BKF  SBAL  NxSOCK  R   WT   JOB_NAME                                                                                            
IMeCO      single     -   -   256     0       256     21120   6      -   -   -       -    N     -       1   7    IMeCOFT0_cp256_tnp256_ms21120_single_lbn_r1_W7_20231126_083008                                      
SPK        single     -   -   256     0       256     21120   6      -   -   -       -    N     -       1   7    SPKFT0_cp256_tnp256_ms21120_single_lbn_r1_W7_20231126_083008                                        
IMeCOft    single     1   0   256     16      272     21120   6      2   2   -       -    N     -       1   7    IMeCOFT1_nf0_cp256_tnp272_ms21120_single_lbn_r1_W7_20231126_083009                                  
SPKft      single     1   0   256     1       257     21120   6      2   2   10560   24   N     -       1   7    SPKFT1_nf0_cp256_tnp257_ms21120_single_lbn_r1_W7_20231126_083009                                    
IMeCOft    single     1   1   256     16      272     21120   6      2   2   -       -    N     -       1   7    IMeCOFT1_nf1_cp256_tnp272_ms21120_single_lbn_r1_W7_20231126_083009                                  
SPKft      single     1   1   256     1       257     21120   6      2   2   10560   24   N     -       1   7    SPKFT1_nf1_cp256_tnp257_ms21120_single_lbn_r1_W7_20231126_083009                                    
IMeCOft    single     2   0   256     32      288     21120   6      2   2   -       -    N     -       1   7    IMeCOFT2_nf0_cp256_tnp288_ms21120_single_lbn_r1_W7_20231126_083009                                  
SPKft      single     2   0   256     2       258     21120   6      2   2   10560   24   N     -       1   7    SPKFT2_nf0_cp256_tnp258_ms21120_single_lbn_r1_W7_20231126_083009                                    
IMeCOft    single     2   2   256     32      288     21120   6      2   2   -       -    N     -       1   7    IMeCOFT2_nf2_cp256_tnp288_ms21120_single_lbn_r1_W7_20231126_083009                                  
SPKft      single     2   2   256     2       258     21120   6      2   2   10560   24   N     -       1   7    SPKFT2_nf2_cp256_tnp258_ms21120_single_lbn_r1_W7_20231126_083009                                    
IMeCOft    single     4   0   256     64      320     21120   7      2   2   -       -    N     -       1   7    IMeCOFT4_nf0_cp256_tnp320_ms21120_single_lbn_r1_W7_20231126_083010                                  
SPKft      single     4   0   256     4       260     21120   6      2   2   10560   24   N     -       1   7    SPKFT4_nf0_cp256_tnp260_ms21120_single_lbn_r1_W7_20231126_083010                                    
IMeCOft    single     4   4   256     64      320     21120   7      2   2   -       -    N     -       1   7    IMeCOFT4_nf4_cp256_tnp320_ms21120_single_lbn_r1_W7_20231126_083010                                  
SPKft      single     4   4   256     4       260     21120   6      2   2   10560   24   N     -       1   7    SPKFT4_nf4_cp256_tnp260_ms21120_single_lbn_r1_W7_20231126_083010                                    
IMeCOft    single     8   0   256     128     384     21120   8      2   2   -       -    N     -       1   7    IMeCOFT8_nf0_cp256_tnp384_ms21120_single_lbn_r1_W7_20231126_083010                                  
SPKft      single     8   0   256     8       264     21120   6      2   2   10560   24   N     -       1   7    SPKFT8_nf0_cp256_tnp264_ms21120_single_lbn_r1_W7_20231126_083010                                    
IMeCOft    single     8   8   256     128     384     21120   8      2   2   -       -    N     -       1   7    IMeCOFT8_nf8_cp256_tnp384_ms21120_single_lbn_r1_W7_20231126_083010                                  
SPKft      single     8   8   256     8       264     21120   6      2   2   10560   24   N     -       1   7    SPKFT8_nf8_cp256_tnp264_ms21120_single_lbn_r1_W7_20231126_083010                                    
IMeCO      double     -   -   256     0       256     21120   6      -   -   -       -    N     -       1   7    IMeCOFT0_cp256_tnp256_ms21120_double_lbn_r1_W7_20231126_083011                                      
SPK        double     -   -   256     0       256     21120   6      -   -   -       -    N     -       1   7    SPKFT0_cp256_tnp256_ms21120_double_lbn_r1_W7_20231126_083011                                        
IMeCOft    double     1   0   256     16      272     21120   6      2   2   -       -    N     -       1   7    IMeCOFT1_nf0_cp256_tnp272_ms21120_double_lbn_r1_W7_20231126_083011                                  
SPKft      double     1   0   256     1       257     21120   6      2   2   10560   24   N     -       1   7    SPKFT1_nf0_cp256_tnp257_ms21120_double_lbn_r1_W7_20231126_083011                                    
IMeCOft    double     1   1   256     16      272     21120   6      2   2   -       -    N     -       1   7    IMeCOFT1_nf1_cp256_tnp272_ms21120_double_lbn_r1_W7_20231126_083011                                  
SPKft      double     1   1   256     1       257     21120   6      2   2   10560   24   N     -       1   7    SPKFT1_nf1_cp256_tnp257_ms21120_double_lbn_r1_W7_20231126_083011                                    
IMeCOft    double     2   0   256     32      288     21120   6      2   2   -       -    N     -       1   7    IMeCOFT2_nf0_cp256_tnp288_ms21120_double_lbn_r1_W7_20231126_083011                                  
SPKft      double     2   0   256     2       258     21120   6      2   2   10560   24   N     -       1   7    SPKFT2_nf0_cp256_tnp258_ms21120_double_lbn_r1_W7_20231126_083012                                    
IMeCOft    double     2   2   256     32      288     21120   6      2   2   -       -    N     -       1   7    IMeCOFT2_nf2_cp256_tnp288_ms21120_double_lbn_r1_W7_20231126_083012                                  
SPKft      double     2   2   256     2       258     21120   6      2   2   10560   24   N     -       1   7    SPKFT2_nf2_cp256_tnp258_ms21120_double_lbn_r1_W7_20231126_083012                                    
