ALGORITHM  PRECISION  FT  NF  CPROCS  SPROCS  TPROCS  MATSIZE NODES  FL  FR  SPK-CP  BKF  SBAL  NxSOCK  R   WT   JOB_NAME                                                                                            
IMeCO      single     -   -   400     0       400     36960   9      -   -   -       -    N     -       1   10   IMeCOFT0_cp400_tnp400_ms36960_single_lbn_r1_W10_20231129_150138                                     
SPK        single     -   -   400     0       400     36960   9      -   -   -       -    N     -       1   10   SPKFT0_cp400_tnp400_ms36960_single_lbn_r1_W10_20231129_150138                                       
IMeCOft    single     1   0   400     20      420     36960   9      2   2   -       -    N     -       1   10   IMeCOFT1_nf0_cp400_tnp420_ms36960_single_lbn_r1_W10_20231129_150138                                 
SPKft      single     1   0   400     1       401     36960   9      2   2   18480   24   N     -       1   10   SPKFT1_nf0_cp400_tnp401_ms36960_single_lbn_r1_W10_20231129_150139                                   
IMeCOft    single     1   1   400     20      420     36960   9      2   2   -       -    N     -       1   10   IMeCOFT1_nf1_cp400_tnp420_ms36960_single_lbn_r1_W10_20231129_150139                                 
SPKft      single     1   1   400     1       401     36960   9      2   2   18480   24   N     -       1   10   SPKFT1_nf1_cp400_tnp401_ms36960_single_lbn_r1_W10_20231129_150139                                   
IMeCOft    single     2   0   400     40      440     36960   10     2   2   -       -    N     -       1   10   IMeCOFT2_nf0_cp400_tnp440_ms36960_single_lbn_r1_W10_20231129_150139                                 
SPKft      single     2   0   400     2       402     36960   9      2   2   18480   24   N     -       1   10   SPKFT2_nf0_cp400_tnp402_ms36960_single_lbn_r1_W10_20231129_150139                                   
IMeCOft    single     2   2   400     40      440     36960   10     2   2   -       -    N     -       1   10   IMeCOFT2_nf2_cp400_tnp440_ms36960_single_lbn_r1_W10_20231129_150139                                 
SPKft      single     2   2   400     2       402     36960   9      2   2   18480   24   N     -       1   10   SPKFT2_nf2_cp400_tnp402_ms36960_single_lbn_r1_W10_20231129_150140                                   
IMeCOft    single     4   0   400     80      480     36960   10     2   2   -       -    N     -       1   10   IMeCOFT4_nf0_cp400_tnp480_ms36960_single_lbn_r1_W10_20231129_150140                                 
SPKft      single     4   0   400     4       404     36960   9      2   2   18480   24   N     -       1   10   SPKFT4_nf0_cp400_tnp404_ms36960_single_lbn_r1_W10_20231129_150140                                   
IMeCOft    single     4   4   400     80      480     36960   10     2   2   -       -    N     -       1   10   IMeCOFT4_nf4_cp400_tnp480_ms36960_single_lbn_r1_W10_20231129_150140                                 
