ALGORITHM  PRECISION  FT  NF  CPROCS  SPROCS  TPROCS  MATSIZE NODES  FL  FR  SPK-CP  BKF  SBAL  NxSOCK  R   WT   JOB_NAME                                                                                            
SPKft      double     1   0   100     1       101     5280    3      2   2   2640    24   N     -       1   5    SPKFT1_nf0_cp100_tnp101_ms5280_double_lbn_r1_W5_20231125_072343                                     
IMeCOft    double     1   1   100     10      110     5280    3      2   2   -       -    N     -       1   5    IMeCOFT1_nf1_cp100_tnp110_ms5280_double_lbn_r1_W5_20231125_072344                                   
SPKft      double     1   1   100     1       101     5280    3      2   2   2640    24   N     -       1   5    SPKFT1_nf1_cp100_tnp101_ms5280_double_lbn_r1_W5_20231125_072344                                     
IMeCOft    double     2   0   100     20      120     5280    3      2   2   -       -    N     -       1   5    IMeCOFT2_nf0_cp100_tnp120_ms5280_double_lbn_r1_W5_20231125_072344                                   
SPKft      double     2   0   100     2       102     5280    3      2   2   2640    24   N     -       1   5    SPKFT2_nf0_cp100_tnp102_ms5280_double_lbn_r1_W5_20231125_072344                                     
IMeCOft    double     2   2   100     20      120     5280    3      2   2   -       -    N     -       1   5    IMeCOFT2_nf2_cp100_tnp120_ms5280_double_lbn_r1_W5_20231125_072344                                   
SPKft      double     2   2   100     2       102     5280    3      2   2   2640    24   N     -       1   5    SPKFT2_nf2_cp100_tnp102_ms5280_double_lbn_r1_W5_20231125_072344                                     
IMeCOft    double     4   0   100     40      140     5280    3      2   2   -       -    N     -       1   5    IMeCOFT4_nf0_cp100_tnp140_ms5280_double_lbn_r1_W5_20231125_072344                                   
SPKft      double     4   0   100     4       104     5280    3      2   2   2640    24   N     -       1   5    SPKFT4_nf0_cp100_tnp104_ms5280_double_lbn_r1_W5_20231125_072344                                     
IMeCOft    double     4   4   100     40      140     5280    3      2   2   -       -    N     -       1   5    IMeCOFT4_nf4_cp100_tnp140_ms5280_double_lbn_r1_W5_20231125_072345                                   
SPKft      double     4   4   100     4       104     5280    3      2   2   2640    24   N     -       1   5    SPKFT4_nf4_cp100_tnp104_ms5280_double_lbn_r1_W5_20231125_072345                                     
