ALGORITHM  PRECISION  FT  NF  CPROCS  SPROCS  TPROCS  MATSIZE NODES  FL  FR  SPK-CP  BKF  SBAL  NxSOCK  R   WT   JOB_NAME                                                                                            
IMeCOft    single     2   0   144     24      168     42240   4      2   2   -       -    N     -       1   60   IMeCOFT2_nf0_cp144_tnp168_ms42240_single_lbn_r1_W60_20240104_180736                                 
IMeCOft    single     2   2   144     24      168     42240   4      2   2   -       -    N     -       1   60   IMeCOFT2_nf2_cp144_tnp168_ms42240_single_lbn_r1_W60_20240104_180736                                 
IMeCOft    double     2   0   144     24      168     42240   4      2   2   -       -    N     -       1   60   IMeCOFT2_nf0_cp144_tnp168_ms42240_double_lbn_r1_W60_20240104_180736                                 
IMeCOft    double     2   2   144     24      168     42240   4      2   2   -       -    N     -       1   60   IMeCOFT2_nf2_cp144_tnp168_ms42240_double_lbn_r1_W60_20240104_180736                                 
IMeCOft    single     2   0   144     24      168     42240   4      2   2   -       -    Y     21      1   60   IMeCOFT2_nf0_cp144_tnp168_ms42240_single_lby_r1_W60_20240104_180736                                 
IMeCOft    single     2   2   144     24      168     42240   4      2   2   -       -    Y     21      1   60   IMeCOFT2_nf2_cp144_tnp168_ms42240_single_lby_r1_W60_20240104_180736                                 
IMeCOft    double     2   0   144     24      168     42240   4      2   2   -       -    Y     21      1   60   IMeCOFT2_nf0_cp144_tnp168_ms42240_double_lby_r1_W60_20240104_180736                                 
IMeCOft    double     2   2   144     24      168     42240   4      2   2   -       -    Y     21      1   60   IMeCOFT2_nf2_cp144_tnp168_ms42240_double_lby_r1_W60_20240104_180737                                 
IMeCOft    single     2   0   144     24      168     36960   4      2   2   -       -    N     -       1   60   IMeCOFT2_nf0_cp144_tnp168_ms36960_single_lbn_r1_W60_20240104_180737                                 
IMeCOft    single     2   2   144     24      168     36960   4      2   2   -       -    N     -       1   60   IMeCOFT2_nf2_cp144_tnp168_ms36960_single_lbn_r1_W60_20240104_180737                                 
IMeCOft    double     2   0   144     24      168     36960   4      2   2   -       -    N     -       1   60   IMeCOFT2_nf0_cp144_tnp168_ms36960_double_lbn_r1_W60_20240104_180737                                 
IMeCOft    double     2   2   144     24      168     36960   4      2   2   -       -    N     -       1   60   IMeCOFT2_nf2_cp144_tnp168_ms36960_double_lbn_r1_W60_20240104_180737                                 
IMeCOft    single     2   0   144     24      168     36960   4      2   2   -       -    Y     21      1   60   IMeCOFT2_nf0_cp144_tnp168_ms36960_single_lby_r1_W60_20240104_180737                                 
IMeCOft    single     2   2   144     24      168     36960   4      2   2   -       -    Y     21      1   60   IMeCOFT2_nf2_cp144_tnp168_ms36960_single_lby_r1_W60_20240104_180738                                 
IMeCOft    double     2   0   144     24      168     36960   4      2   2   -       -    Y     21      1   60   IMeCOFT2_nf0_cp144_tnp168_ms36960_double_lby_r1_W60_20240104_180738                                 
IMeCOft    double     2   2   144     24      168     36960   4      2   2   -       -    Y     21      1   60   IMeCOFT2_nf2_cp144_tnp168_ms36960_double_lby_r1_W60_20240104_180738                                 
IMeCOft    single     2   0   144     24      168     31680   4      2   2   -       -    N     -       1   60   IMeCOFT2_nf0_cp144_tnp168_ms31680_single_lbn_r1_W60_20240104_180738                                 
IMeCOft    single     2   2   144     24      168     31680   4      2   2   -       -    N     -       1   60   IMeCOFT2_nf2_cp144_tnp168_ms31680_single_lbn_r1_W60_20240104_180738                                 
IMeCOft    double     2   0   144     24      168     31680   4      2   2   -       -    N     -       1   60   IMeCOFT2_nf0_cp144_tnp168_ms31680_double_lbn_r1_W60_20240104_180738                                 
IMeCOft    double     2   2   144     24      168     31680   4      2   2   -       -    N     -       1   60   IMeCOFT2_nf2_cp144_tnp168_ms31680_double_lbn_r1_W60_20240104_180738                                 
IMeCOft    single     2   0   144     24      168     31680   4      2   2   -       -    Y     21      1   60   IMeCOFT2_nf0_cp144_tnp168_ms31680_single_lby_r1_W60_20240104_180738                                 
IMeCOft    single     2   2   144     24      168     31680   4      2   2   -       -    Y     21      1   60   IMeCOFT2_nf2_cp144_tnp168_ms31680_single_lby_r1_W60_20240104_180739                                 
IMeCOft    double     2   0   144     24      168     31680   4      2   2   -       -    Y     21      1   60   IMeCOFT2_nf0_cp144_tnp168_ms31680_double_lby_r1_W60_20240104_180739                                 
IMeCOft    double     2   2   144     24      168     31680   4      2   2   -       -    Y     21      1   60   IMeCOFT2_nf2_cp144_tnp168_ms31680_double_lby_r1_W60_20240104_180739                                 
