ALGORITHM  PRECISION  FT  NF  CPROCS  SPROCS  TPROCS  MATSIZE NODES  FL  FR  SPK-CP  BKF  SBAL  NxSOCK  R   WT   JOB_NAME                                                                                            
IMeCOft    single     8   0   400     160     560     42240   12     2   2   -       -    N     -       1   15   IMeCOFT8_nf0_cp400_tnp560_ms42240_single_lbn_r1_W15_20231216_203101                                 
SPKft      single     8   0   400     8       408     42240   9      2   2   21120   24   N     -       1   15   SPKFT8_nf0_cp400_tnp408_ms42240_single_lbn_r1_W15_20231216_203101                                   
IMeCOft    single     8   8   400     160     560     42240   12     2   2   -       -    N     -       1   15   IMeCOFT8_nf8_cp400_tnp560_ms42240_single_lbn_r1_W15_20231216_203101                                 
SPKft      single     8   8   400     8       408     42240   9      2   2   21120   24   N     -       1   15   SPKFT8_nf8_cp400_tnp408_ms42240_single_lbn_r1_W15_20231216_203101                                   
IMeCOft    double     8   0   400     160     560     42240   12     2   2   -       -    N     -       1   15   IMeCOFT8_nf0_cp400_tnp560_ms42240_double_lbn_r1_W15_20231216_203101                                 
SPKft      double     8   0   400     8       408     42240   9      2   2   21120   24   N     -       1   15   SPKFT8_nf0_cp400_tnp408_ms42240_double_lbn_r1_W15_20231216_203102                                   
IMeCOft    double     8   8   400     160     560     42240   12     2   2   -       -    N     -       1   15   IMeCOFT8_nf8_cp400_tnp560_ms42240_double_lbn_r1_W15_20231216_203102                                 
SPKft      double     8   8   400     8       408     42240   9      2   2   21120   24   N     -       1   15   SPKFT8_nf8_cp400_tnp408_ms42240_double_lbn_r1_W15_20231216_203102                                   
IMeCOft    single     8   0   400     160     560     42240   12     2   2   -       -    Y     24      1   15   IMeCOFT8_nf0_cp400_tnp560_ms42240_single_lby_r1_W15_20231216_203102                                 
SPKft      single     8   0   400     8       408     42240   9      2   2   21120   24   Y     23      1   15   SPKFT8_nf0_cp400_tnp408_ms42240_single_lby_r1_W15_20231216_203102                                   
IMeCOft    single     8   8   400     160     560     42240   12     2   2   -       -    Y     24      1   15   IMeCOFT8_nf8_cp400_tnp560_ms42240_single_lby_r1_W15_20231216_203102                                 
SPKft      single     8   8   400     8       408     42240   9      2   2   21120   24   Y     23      1   15   SPKFT8_nf8_cp400_tnp408_ms42240_single_lby_r1_W15_20231216_203102                                   
IMeCOft    double     8   0   400     160     560     42240   12     2   2   -       -    Y     24      1   15   IMeCOFT8_nf0_cp400_tnp560_ms42240_double_lby_r1_W15_20231216_203103                                 
SPKft      double     8   0   400     8       408     42240   9      2   2   21120   24   Y     23      1   15   SPKFT8_nf0_cp400_tnp408_ms42240_double_lby_r1_W15_20231216_203103                                   
IMeCOft    double     8   8   400     160     560     42240   12     2   2   -       -    Y     24      1   15   IMeCOFT8_nf8_cp400_tnp560_ms42240_double_lby_r1_W15_20231216_203103                                 
SPKft      double     8   8   400     8       408     42240   9      2   2   21120   24   Y     23      1   15   SPKFT8_nf8_cp400_tnp408_ms42240_double_lby_r1_W15_20231216_203103                                   
IMeCOft    single     4   0   400     80      480     42240   10     2   2   -       -    N     -       1   15   IMeCOFT4_nf0_cp400_tnp480_ms42240_single_lbn_r1_W15_20231216_203103                                 
SPKft      single     4   0   400     4       404     42240   9      2   2   21120   24   N     -       1   15   SPKFT4_nf0_cp400_tnp404_ms42240_single_lbn_r1_W15_20231216_203103                                   
IMeCOft    single     4   4   400     80      480     42240   10     2   2   -       -    N     -       1   15   IMeCOFT4_nf4_cp400_tnp480_ms42240_single_lbn_r1_W15_20231216_203103                                 
SPKft      single     4   4   400     4       404     42240   9      2   2   21120   24   N     -       1   15   SPKFT4_nf4_cp400_tnp404_ms42240_single_lbn_r1_W15_20231216_203103                                   
IMeCOft    double     4   0   400     80      480     42240   10     2   2   -       -    N     -       1   15   IMeCOFT4_nf0_cp400_tnp480_ms42240_double_lbn_r1_W15_20231216_203103                                 
SPKft      double     4   0   400     4       404     42240   9      2   2   21120   24   N     -       1   15   SPKFT4_nf0_cp400_tnp404_ms42240_double_lbn_r1_W15_20231216_203104                                   
IMeCOft    double     4   4   400     80      480     42240   10     2   2   -       -    N     -       1   15   IMeCOFT4_nf4_cp400_tnp480_ms42240_double_lbn_r1_W15_20231216_203104                                 
SPKft      double     4   4   400     4       404     42240   9      2   2   21120   24   N     -       1   15   SPKFT4_nf4_cp400_tnp404_ms42240_double_lbn_r1_W15_20231216_203104                                   
IMeCOft    single     4   0   400     80      480     42240   10     2   2   -       -    Y     24      1   15   IMeCOFT4_nf0_cp400_tnp480_ms42240_single_lby_r1_W15_20231216_203104                                 
SPKft      single     4   0   400     4       404     42240   9      2   2   21120   24   Y     23      1   15   SPKFT4_nf0_cp400_tnp404_ms42240_single_lby_r1_W15_20231216_203104                                   
IMeCOft    single     4   4   400     80      480     42240   10     2   2   -       -    Y     24      1   15   IMeCOFT4_nf4_cp400_tnp480_ms42240_single_lby_r1_W15_20231216_203104                                 
SPKft      single     4   4   400     4       404     42240   9      2   2   21120   24   Y     23      1   15   SPKFT4_nf4_cp400_tnp404_ms42240_single_lby_r1_W15_20231216_203105                                   
IMeCOft    double     4   0   400     80      480     42240   10     2   2   -       -    Y     24      1   15   IMeCOFT4_nf0_cp400_tnp480_ms42240_double_lby_r1_W15_20231216_203105                                 
SPKft      double     4   0   400     4       404     42240   9      2   2   21120   24   Y     23      1   15   SPKFT4_nf0_cp400_tnp404_ms42240_double_lby_r1_W15_20231216_203105                                   
IMeCOft    double     4   4   400     80      480     42240   10     2   2   -       -    Y     24      1   15   IMeCOFT4_nf4_cp400_tnp480_ms42240_double_lby_r1_W15_20231216_203105                                 
SPKft      double     4   4   400     4       404     42240   9      2   2   21120   24   Y     23      1   15   SPKFT4_nf4_cp400_tnp404_ms42240_double_lby_r1_W15_20231216_203105                                   
IMeCOft    single     2   0   400     40      440     42240   10     2   2   -       -    N     -       1   15   IMeCOFT2_nf0_cp400_tnp440_ms42240_single_lbn_r1_W15_20231216_203105                                 
SPKft      single     2   0   400     2       402     42240   9      2   2   21120   24   N     -       1   15   SPKFT2_nf0_cp400_tnp402_ms42240_single_lbn_r1_W15_20231216_203105                                   
IMeCOft    single     2   2   400     40      440     42240   10     2   2   -       -    N     -       1   15   IMeCOFT2_nf2_cp400_tnp440_ms42240_single_lbn_r1_W15_20231216_203105                                 
SPKft      single     2   2   400     2       402     42240   9      2   2   21120   24   N     -       1   15   SPKFT2_nf2_cp400_tnp402_ms42240_single_lbn_r1_W15_20231216_203105                                   
IMeCOft    double     2   0   400     40      440     42240   10     2   2   -       -    N     -       1   15   IMeCOFT2_nf0_cp400_tnp440_ms42240_double_lbn_r1_W15_20231216_203106                                 
SPKft      double     2   0   400     2       402     42240   9      2   2   21120   24   N     -       1   15   SPKFT2_nf0_cp400_tnp402_ms42240_double_lbn_r1_W15_20231216_203106                                   
IMeCOft    double     2   2   400     40      440     42240   10     2   2   -       -    N     -       1   15   IMeCOFT2_nf2_cp400_tnp440_ms42240_double_lbn_r1_W15_20231216_203106                                 
SPKft      double     2   2   400     2       402     42240   9      2   2   21120   24   N     -       1   15   SPKFT2_nf2_cp400_tnp402_ms42240_double_lbn_r1_W15_20231216_203106                                   
IMeCOft    single     2   0   400     40      440     42240   10     2   2   -       -    Y     22      1   15   IMeCOFT2_nf0_cp400_tnp440_ms42240_single_lby_r1_W15_20231216_203106                                 
SPKft      single     2   0   400     2       402     42240   9      2   2   21120   24   Y     23      1   15   SPKFT2_nf0_cp400_tnp402_ms42240_single_lby_r1_W15_20231216_203106                                   
IMeCOft    single     2   2   400     40      440     42240   10     2   2   -       -    Y     22      1   15   IMeCOFT2_nf2_cp400_tnp440_ms42240_single_lby_r1_W15_20231216_203106                                 
SPKft      single     2   2   400     2       402     42240   9      2   2   21120   24   Y     23      1   15   SPKFT2_nf2_cp400_tnp402_ms42240_single_lby_r1_W15_20231216_203106                                   
IMeCOft    double     2   0   400     40      440     42240   10     2   2   -       -    Y     22      1   15   IMeCOFT2_nf0_cp400_tnp440_ms42240_double_lby_r1_W15_20231216_203106                                 
SPKft      double     2   0   400     2       402     42240   9      2   2   21120   24   Y     23      1   15   SPKFT2_nf0_cp400_tnp402_ms42240_double_lby_r1_W15_20231216_203107                                   
IMeCOft    double     2   2   400     40      440     42240   10     2   2   -       -    Y     22      1   15   IMeCOFT2_nf2_cp400_tnp440_ms42240_double_lby_r1_W15_20231216_203107                                 
SPKft      double     2   2   400     2       402     42240   9      2   2   21120   24   Y     23      1   15   SPKFT2_nf2_cp400_tnp402_ms42240_double_lby_r1_W15_20231216_203107                                   
IMeCOft    single     1   0   400     20      420     42240   9      2   2   -       -    N     -       1   15   IMeCOFT1_nf0_cp400_tnp420_ms42240_single_lbn_r1_W15_20231216_203107                                 
SPKft      single     1   0   400     1       401     42240   9      2   2   21120   24   N     -       1   15   SPKFT1_nf0_cp400_tnp401_ms42240_single_lbn_r1_W15_20231216_203107                                   
IMeCOft    single     1   1   400     20      420     42240   9      2   2   -       -    N     -       1   15   IMeCOFT1_nf1_cp400_tnp420_ms42240_single_lbn_r1_W15_20231216_203107                                 
SPKft      single     1   1   400     1       401     42240   9      2   2   21120   24   N     -       1   15   SPKFT1_nf1_cp400_tnp401_ms42240_single_lbn_r1_W15_20231216_203107                                   
IMeCOft    double     1   0   400     20      420     42240   9      2   2   -       -    N     -       1   15   IMeCOFT1_nf0_cp400_tnp420_ms42240_double_lbn_r1_W15_20231216_203107                                 
SPKft      double     1   0   400     1       401     42240   9      2   2   21120   24   N     -       1   15   SPKFT1_nf0_cp400_tnp401_ms42240_double_lbn_r1_W15_20231216_203108                                   
IMeCOft    double     1   1   400     20      420     42240   9      2   2   -       -    N     -       1   15   IMeCOFT1_nf1_cp400_tnp420_ms42240_double_lbn_r1_W15_20231216_203108                                 
SPKft      double     1   1   400     1       401     42240   9      2   2   21120   24   N     -       1   15   SPKFT1_nf1_cp400_tnp401_ms42240_double_lbn_r1_W15_20231216_203108                                   
IMeCOft    single     1   0   400     20      420     42240   9      2   2   -       -    Y     24      1   15   IMeCOFT1_nf0_cp400_tnp420_ms42240_single_lby_r1_W15_20231216_203108                                 
SPKft      single     1   0   400     1       401     42240   9      2   2   21120   24   Y     23      1   15   SPKFT1_nf0_cp400_tnp401_ms42240_single_lby_r1_W15_20231216_203108                                   
IMeCOft    single     1   1   400     20      420     42240   9      2   2   -       -    Y     24      1   15   IMeCOFT1_nf1_cp400_tnp420_ms42240_single_lby_r1_W15_20231216_203108                                 
