ALGORITHM  PRECISION  FT  NF  CPROCS  SPROCS  TPROCS  MATSIZE NODES  FL  FR  SPK-CP  BKF  SBAL  NxSOCK  R   WT   JOB_NAME                                                                                            
IMeCOft    single     8   0   576     192     768     31680   16     2   2   -       -    N     -       1   8    IMeCOFT8_nf0_cp576_tnp768_ms31680_single_lbn_r1_W8_20231208_213308                                  
SPKft      single     8   0   576     8       584     31680   13     2   2   15840   24   N     -       1   8    SPKFT8_nf0_cp576_tnp584_ms31680_single_lbn_r1_W8_20231208_213308                                    
IMeCOft    single     8   8   576     192     768     31680   16     2   2   -       -    N     -       1   8    IMeCOFT8_nf8_cp576_tnp768_ms31680_single_lbn_r1_W8_20231208_213308                                  
SPKft      single     8   8   576     8       584     31680   13     2   2   15840   24   N     -       1   8    SPKFT8_nf8_cp576_tnp584_ms31680_single_lbn_r1_W8_20231208_213309                                    
IMeCOft    double     8   0   576     192     768     31680   16     2   2   -       -    N     -       1   8    IMeCOFT8_nf0_cp576_tnp768_ms31680_double_lbn_r1_W8_20231208_213309                                  
SPKft      double     8   0   576     8       584     31680   13     2   2   15840   24   N     -       1   8    SPKFT8_nf0_cp576_tnp584_ms31680_double_lbn_r1_W8_20231208_213309                                    
IMeCOft    double     8   8   576     192     768     31680   16     2   2   -       -    N     -       1   8    IMeCOFT8_nf8_cp576_tnp768_ms31680_double_lbn_r1_W8_20231208_213309                                  
SPKft      double     8   8   576     8       584     31680   13     2   2   15840   24   N     -       1   8    SPKFT8_nf8_cp576_tnp584_ms31680_double_lbn_r1_W8_20231208_213309                                    
IMeCOft    single     8   0   576     192     768     31680   16     2   2   -       -    Y     24      1   8    IMeCOFT8_nf0_cp576_tnp768_ms31680_single_lby_r1_W8_20231208_213309                                  
SPKft      single     8   0   576     8       584     31680   13     2   2   15840   24   Y     23      1   8    SPKFT8_nf0_cp576_tnp584_ms31680_single_lby_r1_W8_20231208_213309                                    
IMeCOft    single     8   8   576     192     768     31680   16     2   2   -       -    Y     24      1   8    IMeCOFT8_nf8_cp576_tnp768_ms31680_single_lby_r1_W8_20231208_213310                                  
