ALGORITHM  PRECISION  FT  NF  CPROCS  SPROCS  TPROCS  MATSIZE NODES  FL  FR  SPK-CP  BKF  SBAL  NxSOCK  R   WT   JOB_NAME                                                                                            
IMeCOft    single     8   0   256     128     384     42240   8      2   2   -       -    N     -       1   40   IMeCOFT8_nf0_cp256_tnp384_ms42240_single_lbn_r1_W40_20231226_011122                                 
SPKft      single     8   0   256     8       264     42240   6      2   2   21120   24   N     -       1   40   SPKFT8_nf0_cp256_tnp264_ms42240_single_lbn_r1_W40_20231226_011122                                   
IMeCOft    single     8   8   256     128     384     42240   8      2   2   -       -    N     -       1   40   IMeCOFT8_nf8_cp256_tnp384_ms42240_single_lbn_r1_W40_20231226_011122                                 
SPKft      single     8   8   256     8       264     42240   6      2   2   21120   24   N     -       1   40   SPKFT8_nf8_cp256_tnp264_ms42240_single_lbn_r1_W40_20231226_011122                                   
IMeCOft    double     8   0   256     128     384     42240   8      2   2   -       -    N     -       1   40   IMeCOFT8_nf0_cp256_tnp384_ms42240_double_lbn_r1_W40_20231226_011122                                 
SPKft      double     8   0   256     8       264     42240   6      2   2   21120   24   N     -       1   40   SPKFT8_nf0_cp256_tnp264_ms42240_double_lbn_r1_W40_20231226_011122                                   
IMeCOft    double     8   8   256     128     384     42240   8      2   2   -       -    N     -       1   40   IMeCOFT8_nf8_cp256_tnp384_ms42240_double_lbn_r1_W40_20231226_011123                                 
SPKft      double     8   8   256     8       264     42240   6      2   2   21120   24   N     -       1   40   SPKFT8_nf8_cp256_tnp264_ms42240_double_lbn_r1_W40_20231226_011123                                   
IMeCOft    single     8   0   256     128     384     42240   8      2   2   -       -    Y     24      1   40   IMeCOFT8_nf0_cp256_tnp384_ms42240_single_lby_r1_W40_20231226_011123                                 
SPKft      single     8   0   256     8       264     42240   6      2   2   21120   24   Y     22      1   40   SPKFT8_nf0_cp256_tnp264_ms42240_single_lby_r1_W40_20231226_011123                                   
IMeCOft    single     8   8   256     128     384     42240   8      2   2   -       -    Y     24      1   40   IMeCOFT8_nf8_cp256_tnp384_ms42240_single_lby_r1_W40_20231226_011123                                 
SPKft      single     8   8   256     8       264     42240   6      2   2   21120   24   Y     22      1   40   SPKFT8_nf8_cp256_tnp264_ms42240_single_lby_r1_W40_20231226_011123                                   
IMeCOft    double     8   0   256     128     384     42240   8      2   2   -       -    Y     24      1   40   IMeCOFT8_nf0_cp256_tnp384_ms42240_double_lby_r1_W40_20231226_011123                                 
SPKft      double     8   0   256     8       264     42240   6      2   2   21120   24   Y     22      1   40   SPKFT8_nf0_cp256_tnp264_ms42240_double_lby_r1_W40_20231226_011123                                   
IMeCOft    double     8   8   256     128     384     42240   8      2   2   -       -    Y     24      1   40   IMeCOFT8_nf8_cp256_tnp384_ms42240_double_lby_r1_W40_20231226_011124                                 
SPKft      double     8   8   256     8       264     42240   6      2   2   21120   24   Y     22      1   40   SPKFT8_nf8_cp256_tnp264_ms42240_double_lby_r1_W40_20231226_011124                                   
IMeCOft    single     4   0   256     64      320     42240   7      2   2   -       -    N     -       1   40   IMeCOFT4_nf0_cp256_tnp320_ms42240_single_lbn_r1_W40_20231226_011124                                 
SPKft      single     4   0   256     4       260     42240   6      2   2   21120   24   N     -       1   40   SPKFT4_nf0_cp256_tnp260_ms42240_single_lbn_r1_W40_20231226_011124                                   
IMeCOft    single     4   4   256     64      320     42240   7      2   2   -       -    N     -       1   40   IMeCOFT4_nf4_cp256_tnp320_ms42240_single_lbn_r1_W40_20231226_011124                                 
SPKft      single     4   4   256     4       260     42240   6      2   2   21120   24   N     -       1   40   SPKFT4_nf4_cp256_tnp260_ms42240_single_lbn_r1_W40_20231226_011124                                   
IMeCOft    double     4   0   256     64      320     42240   7      2   2   -       -    N     -       1   40   IMeCOFT4_nf0_cp256_tnp320_ms42240_double_lbn_r1_W40_20231226_011124                                 
SPKft      double     4   0   256     4       260     42240   6      2   2   21120   24   N     -       1   40   SPKFT4_nf0_cp256_tnp260_ms42240_double_lbn_r1_W40_20231226_011125                                   
IMeCOft    double     4   4   256     64      320     42240   7      2   2   -       -    N     -       1   40   IMeCOFT4_nf4_cp256_tnp320_ms42240_double_lbn_r1_W40_20231226_011125                                 
SPKft      double     4   4   256     4       260     42240   6      2   2   21120   24   N     -       1   40   SPKFT4_nf4_cp256_tnp260_ms42240_double_lbn_r1_W40_20231226_011125                                   
IMeCOft    single     4   0   256     64      320     42240   7      2   2   -       -    Y     23      1   40   IMeCOFT4_nf0_cp256_tnp320_ms42240_single_lby_r1_W40_20231226_011125                                 
SPKft      single     4   0   256     4       260     42240   6      2   2   21120   24   Y     22      1   40   SPKFT4_nf0_cp256_tnp260_ms42240_single_lby_r1_W40_20231226_011125                                   
IMeCOft    single     4   4   256     64      320     42240   7      2   2   -       -    Y     23      1   40   IMeCOFT4_nf4_cp256_tnp320_ms42240_single_lby_r1_W40_20231226_011125                                 
SPKft      single     4   4   256     4       260     42240   6      2   2   21120   24   Y     22      1   40   SPKFT4_nf4_cp256_tnp260_ms42240_single_lby_r1_W40_20231226_011125                                   
IMeCOft    double     4   0   256     64      320     42240   7      2   2   -       -    Y     23      1   40   IMeCOFT4_nf0_cp256_tnp320_ms42240_double_lby_r1_W40_20231226_011125                                 
SPKft      double     4   0   256     4       260     42240   6      2   2   21120   24   Y     22      1   40   SPKFT4_nf0_cp256_tnp260_ms42240_double_lby_r1_W40_20231226_011125                                   
IMeCOft    double     4   4   256     64      320     42240   7      2   2   -       -    Y     23      1   40   IMeCOFT4_nf4_cp256_tnp320_ms42240_double_lby_r1_W40_20231226_011126                                 
SPKft      double     4   4   256     4       260     42240   6      2   2   21120   24   Y     22      1   40   SPKFT4_nf4_cp256_tnp260_ms42240_double_lby_r1_W40_20231226_011126                                   
IMeCOft    single     2   0   256     32      288     42240   6      2   2   -       -    N     -       1   40   IMeCOFT2_nf0_cp256_tnp288_ms42240_single_lbn_r1_W40_20231226_011126                                 
SPKft      single     2   0   256     2       258     42240   6      2   2   21120   24   N     -       1   40   SPKFT2_nf0_cp256_tnp258_ms42240_single_lbn_r1_W40_20231226_011126                                   
IMeCOft    single     2   2   256     32      288     42240   6      2   2   -       -    N     -       1   40   IMeCOFT2_nf2_cp256_tnp288_ms42240_single_lbn_r1_W40_20231226_011126                                 
SPKft      single     2   2   256     2       258     42240   6      2   2   21120   24   N     -       1   40   SPKFT2_nf2_cp256_tnp258_ms42240_single_lbn_r1_W40_20231226_011126                                   
IMeCOft    double     2   0   256     32      288     42240   6      2   2   -       -    N     -       1   40   IMeCOFT2_nf0_cp256_tnp288_ms42240_double_lbn_r1_W40_20231226_011126                                 
SPKft      double     2   0   256     2       258     42240   6      2   2   21120   24   N     -       1   40   SPKFT2_nf0_cp256_tnp258_ms42240_double_lbn_r1_W40_20231226_011126                                   
IMeCOft    double     2   2   256     32      288     42240   6      2   2   -       -    N     -       1   40   IMeCOFT2_nf2_cp256_tnp288_ms42240_double_lbn_r1_W40_20231226_011127                                 
SPKft      double     2   2   256     2       258     42240   6      2   2   21120   24   N     -       1   40   SPKFT2_nf2_cp256_tnp258_ms42240_double_lbn_r1_W40_20231226_011127                                   
IMeCOft    single     2   0   256     32      288     42240   6      2   2   -       -    Y     24      1   40   IMeCOFT2_nf0_cp256_tnp288_ms42240_single_lby_r1_W40_20231226_011127                                 
SPKft      single     2   0   256     2       258     42240   6      2   2   21120   24   Y     22      1   40   SPKFT2_nf0_cp256_tnp258_ms42240_single_lby_r1_W40_20231226_011127                                   
IMeCOft    single     2   2   256     32      288     42240   6      2   2   -       -    Y     24      1   40   IMeCOFT2_nf2_cp256_tnp288_ms42240_single_lby_r1_W40_20231226_011127                                 
SPKft      single     2   2   256     2       258     42240   6      2   2   21120   24   Y     22      1   40   SPKFT2_nf2_cp256_tnp258_ms42240_single_lby_r1_W40_20231226_011127                                   
IMeCOft    double     2   0   256     32      288     42240   6      2   2   -       -    Y     24      1   40   IMeCOFT2_nf0_cp256_tnp288_ms42240_double_lby_r1_W40_20231226_011127                                 
SPKft      double     2   0   256     2       258     42240   6      2   2   21120   24   Y     22      1   40   SPKFT2_nf0_cp256_tnp258_ms42240_double_lby_r1_W40_20231226_011127                                   
IMeCOft    double     2   2   256     32      288     42240   6      2   2   -       -    Y     24      1   40   IMeCOFT2_nf2_cp256_tnp288_ms42240_double_lby_r1_W40_20231226_011127                                 
SPKft      double     2   2   256     2       258     42240   6      2   2   21120   24   Y     22      1   40   SPKFT2_nf2_cp256_tnp258_ms42240_double_lby_r1_W40_20231226_011128                                   
IMeCOft    single     1   0   256     16      272     42240   6      2   2   -       -    N     -       1   40   IMeCOFT1_nf0_cp256_tnp272_ms42240_single_lbn_r1_W40_20231226_011128                                 
SPKft      single     1   0   256     1       257     42240   6      2   2   21120   24   N     -       1   40   SPKFT1_nf0_cp256_tnp257_ms42240_single_lbn_r1_W40_20231226_011128                                   
IMeCOft    single     1   1   256     16      272     42240   6      2   2   -       -    N     -       1   40   IMeCOFT1_nf1_cp256_tnp272_ms42240_single_lbn_r1_W40_20231226_011128                                 
SPKft      single     1   1   256     1       257     42240   6      2   2   21120   24   N     -       1   40   SPKFT1_nf1_cp256_tnp257_ms42240_single_lbn_r1_W40_20231226_011128                                   
IMeCOft    double     1   0   256     16      272     42240   6      2   2   -       -    N     -       1   40   IMeCOFT1_nf0_cp256_tnp272_ms42240_double_lbn_r1_W40_20231226_011128                                 
SPKft      double     1   0   256     1       257     42240   6      2   2   21120   24   N     -       1   40   SPKFT1_nf0_cp256_tnp257_ms42240_double_lbn_r1_W40_20231226_011128                                   
IMeCOft    double     1   1   256     16      272     42240   6      2   2   -       -    N     -       1   40   IMeCOFT1_nf1_cp256_tnp272_ms42240_double_lbn_r1_W40_20231226_011128                                 
SPKft      double     1   1   256     1       257     42240   6      2   2   21120   24   N     -       1   40   SPKFT1_nf1_cp256_tnp257_ms42240_double_lbn_r1_W40_20231226_011129                                   
IMeCOft    single     1   0   256     16      272     42240   6      2   2   -       -    Y     23      1   40   IMeCOFT1_nf0_cp256_tnp272_ms42240_single_lby_r1_W40_20231226_011129                                 
SPKft      single     1   0   256     1       257     42240   6      2   2   21120   24   Y     22      1   40   SPKFT1_nf0_cp256_tnp257_ms42240_single_lby_r1_W40_20231226_011129                                   
IMeCOft    single     1   1   256     16      272     42240   6      2   2   -       -    Y     23      1   40   IMeCOFT1_nf1_cp256_tnp272_ms42240_single_lby_r1_W40_20231226_011129                                 
SPKft      single     1   1   256     1       257     42240   6      2   2   21120   24   Y     22      1   40   SPKFT1_nf1_cp256_tnp257_ms42240_single_lby_r1_W40_20231226_011129                                   
IMeCOft    double     1   0   256     16      272     42240   6      2   2   -       -    Y     23      1   40   IMeCOFT1_nf0_cp256_tnp272_ms42240_double_lby_r1_W40_20231226_011129                                 
SPKft      double     1   0   256     1       257     42240   6      2   2   21120   24   Y     22      1   40   SPKFT1_nf0_cp256_tnp257_ms42240_double_lby_r1_W40_20231226_011129                                   
IMeCOft    double     1   1   256     16      272     42240   6      2   2   -       -    Y     23      1   40   IMeCOFT1_nf1_cp256_tnp272_ms42240_double_lby_r1_W40_20231226_011130                                 
SPKft      double     1   1   256     1       257     42240   6      2   2   21120   24   Y     22      1   40   SPKFT1_nf1_cp256_tnp257_ms42240_double_lby_r1_W40_20231226_011130                                   
IMeCO      single     -   -   256     0       256     42240   6      -   -   -       -    N     -       1   40   IMeCOFT0_cp256_tnp256_ms42240_single_lbn_r1_W40_20231226_011130                                     
SPK        single     -   -   256     0       256     42240   6      -   -   -       -    N     -       1   40   SPKFT0_cp256_tnp256_ms42240_single_lbn_r1_W40_20231226_011130                                       
IMeCO      double     -   -   256     0       256     42240   6      -   -   -       -    N     -       1   40   IMeCOFT0_cp256_tnp256_ms42240_double_lbn_r1_W40_20231226_011130                                     
SPK        double     -   -   256     0       256     42240   6      -   -   -       -    N     -       1   40   SPKFT0_cp256_tnp256_ms42240_double_lbn_r1_W40_20231226_011130                                       
IMeCO      single     -   -   256     0       256     42240   6      -   -   -       -    Y     22      1   40   IMeCOFT0_cp256_tnp256_ms42240_single_lby_r1_W40_20231226_011130                                     
SPK        single     -   -   256     0       256     42240   6      -   -   -       -    Y     22      1   40   SPKFT0_cp256_tnp256_ms42240_single_lby_r1_W40_20231226_011130                                       
IMeCO      double     -   -   256     0       256     42240   6      -   -   -       -    Y     22      1   40   IMeCOFT0_cp256_tnp256_ms42240_double_lby_r1_W40_20231226_011130                                     
SPK        double     -   -   256     0       256     42240   6      -   -   -       -    Y     22      1   40   SPKFT0_cp256_tnp256_ms42240_double_lby_r1_W40_20231226_011131                                       
