jobid	nodename	tempo	timestamp_measure	sys_power	cpu_power	mem_power	sys_util	cpu_util	mem_util	io_util	amb_temp	cpu1_temp	cpu2_temp	exh_temp	sysairflow	fan1a	fan1b	fan2a	fan2b	fan3a	fan3b	fan4a	fan4b	fan5a	fan5b	dcenergy	note	delta_e
901239	cresco6x192	Wed  6 Dec 16:04:36 CET 2023	1701875076	150.00	110.00	13.00	0.00	0.00	0.00	0.00	18.00	38.00	36.00	30.00	19.00	5120.00000	5248.00000	6784.00000	7168.00000	6784.00000	7168.00000	6784.00000	7168.00000	5120.00000	5120.00000	225.90708		0.00008
901239	cresco6x021	Wed  6 Dec 16:04:38 CET 2023	1701875078	130.00	100.00	11.00	14.00	0.00	0.00	0.00	18.00	38.00	33.00	29.00	19.00	5120.00000	5248.00000	6784.00000	7168.00000	6912.00000	7168.00000	6912.00000	7168.00000	5120.00000	5248.00000	135.72846		0.00007
901239	cresco6x192	Wed  6 Dec 16:04:33 CET 2023	1701875073	130.00	100.00	14.00	0.00	0.00	0.00	0.00	18.00	38.00	36.00	30.00	19.00	5120.00000	5248.00000	6784.00000	7168.00000	6784.00000	7168.00000	6784.00000	7168.00000	5120.00000	5120.00000	225.90692		0.00014
901239	cresco6x199	Wed  6 Dec 16:04:33 CET 2023	1701875073	120.00	80.00	9.00	0.00	0.00	0.00	0.00	18.00	35.00	35.00	36.00	12.00	6912.00000	7040.00000	9344.00000	0.00000	9344.00000	9856.00000	9344.00000	9728.00000	6784.00000	6912.00000	212.90375		0.00011
901239	cresco6x021	Wed  6 Dec 16:04:33 CET 2023	1701875073	130.00	90.00	13.00	0.00	0.00	0.00	0.00	18.00	38.00	33.00	29.00	19.00	5120.00000	5248.00000	6784.00000	7168.00000	6912.00000	7168.00000	6912.00000	7168.00000	5120.00000	5248.00000	135.72821		0.00006
901239	cresco6x192	Wed  6 Dec 16:04:31 CET 2023	1701875071	130.00	100.00	14.00	0.00	0.00	0.00	0.00	18.00	38.00	36.00	30.00	19.00	5120.00000	5248.00000	6784.00000	7168.00000	6784.00000	7168.00000	6784.00000	7168.00000	5120.00000	5120.00000	225.90678		0.00007
901239	cresco6x199	Wed  6 Dec 16:04:31 CET 2023	1701875071	130.00	100.00	9.00	0.00	0.00	0.00	0.00	18.00	35.00	35.00	37.00	12.00	6912.00000	7040.00000	9344.00000	0.00000	9344.00000	9856.00000	9344.00000	9728.00000	6784.00000	6912.00000	212.90364		0.00004
901239	cresco6x021	Wed  6 Dec 16:04:31 CET 2023	1701875071	130.00	100.00	11.00	0.00	0.00	0.00	0.00	18.00	38.00	33.00	29.00	19.00	5120.00000	5248.00000	6784.00000	7168.00000	6912.00000	7168.00000	6912.00000	7168.00000	5120.00000	5248.00000	135.72815		0.00007
901239	cresco6x199	Wed  6 Dec 16:04:30 CET 2023	1701875070	130.00	100.00	9.00	0.00	0.00	0.00	0.00	18.00	35.00	35.00	37.00	12.00	6912.00000	7040.00000	9344.00000	0.00000	9344.00000	9856.00000	9344.00000	9728.00000	6784.00000	6912.00000	212.90360		0.00007
901239	cresco6x192	Wed  6 Dec 16:04:30 CET 2023	1701875070	110.00	80.00	13.00	0.00	0.00	0.00	0.00	18.00	38.00	36.00	30.00	19.00	5120.00000	5248.00000	6784.00000	7168.00000	6784.00000	7168.00000	6784.00000	7168.00000	5120.00000	5120.00000	225.90671		0.00003
