ALGORITHM;FT;NFT;PREC;CPROCS;SPROCS;TPROCS;MATSIZE;REP;WTIME;NODES;BALANCE;NUMxSOCK;RUNTIME_S;RUNTIME;NRE;NODO;EN_TOT_SOCK0_IN;EN_TOT_SOCK0_FIN;EN_TOT_SOCK1_IN;	EN_TOT_SOCK1_FIN;EN_DRAM_SOCK0_IN;EN_DRAM_SOCK0_FIN;EN_DRAM_SOCK1_IN;EN_DRAM_SOCK1_FIN;JOB NAME;
IMeCO;1;0;single;100;10;110;21120;1;20;3;y;19;148;0h 2m 28s;;cresco6x162; 226571251213;239300664366;207820512289;222171196926; 65513380131;1327691466;56489959504; 57633641313;IMeCOFT1_nf0_cp100_tnp110_ms21120_single_lby_r1_W20_20231121_222709
IMeCO;4;4;single;100;40;140;21120;1;20;3;y;24;179;0h 2m 59s;;cresco6x162; 45985611341;66396765753;35776559717;57842502252; 8464451160;11477524178;65145585618; 3087839971;IMeCOFT4_nf4_cp100_tnp140_ms21120_single_lby_r1_W20_20231121_222711
IMeCO;4;4;single;100;40;140;21120;1;20;3;y;24;179;0h 2m 59s;;cresco6x327; 197764753120;216805786955;2942954441;22745144836; 53681687681;55179238569;63811762999; 65646060614;IMeCOFT4_nf4_cp100_tnp140_ms21120_single_lby_r1_W20_20231121_222711
IMeCO;4;4;single;100;40;140;21120;1;20;3;y;24;179;0h 2m 59s;;cresco6x238; 35777749229;53595614870;238133033566;260756898561; 55713119477;57425311280;36744475823; 39482086141;IMeCOFT4_nf4_cp100_tnp140_ms21120_single_lby_r1_W20_20231121_222711
IMeCO;8;8;single;100;80;180;21120;1;20;4;y;23;177;0h 2m 57s;;cresco6x286; 185267436602;203651625684;74357754223;94798179679; 59801878931;62660590968;21614283913; 24971533200;IMeCOFT8_nf8_cp100_tnp180_ms21120_single_lby_r1_W20_20231121_222711
IMeCO;8;8;single;100;80;180;21120;1;20;4;y;23;177;0h 2m 57s;;cresco6x138; 14339915865;31812882426;175872591757;195244981861; 42786873901;44421035108;39630240800; 41694182724;IMeCOFT8_nf8_cp100_tnp180_ms21120_single_lby_r1_W20_20231121_222711
IMeCO;8;8;single;100;80;180;21120;1;20;4;y;23;177;0h 2m 57s;;cresco6x203; 70597516779;90009092146;171405503034;192069535400; 22256156459;25351364636;63067641379; 188800271;IMeCOFT8_nf8_cp100_tnp180_ms21120_single_lby_r1_W20_20231121_222711
IMeCO;8;8;single;100;80;180;21120;1;20;4;y;23;177;0h 2m 57s;;cresco6x328; 183873035143;199656362718;46425163316;65585362435; 64363567857;1942992;33950341215; 35766517754;IMeCOFT8_nf8_cp100_tnp180_ms21120_single_lby_r1_W20_20231121_222711
IMeCO;2;0;single;100;20;120;21120;1;20;3;y;20;151;0h 2m 31s;;cresco6x203; 245836737294;261848379410;76643718586;94180838120; 11879014875;14607851531;51592547452; 54667303262;IMeCOFT2_nf0_cp100_tnp120_ms21120_single_lby_r1_W20_20231121_222710
IMeCO;2;0;single;100;20;120;21120;1;20;3;y;20;151;0h 2m 32s;;cresco6x074; 237359597497;252326048013;248696915092;2778391507; 22605690880;24402695128;21170233375; 23299516611;IMeCOFT2_nf0_cp100_tnp120_ms21120_single_lby_r1_W20_20231121_222710
IMeCO;2;0;single;100;20;120;21120;1;20;3;y;20;151;0h 2m 32s;;cresco6x162; 258619987101;12473622364;244348230790;259330314811; 3316298592;5495574074;59622841345; 60707678344;IMeCOFT2_nf0_cp100_tnp120_ms21120_single_lby_r1_W20_20231121_222710
IMeCO;2;2;single;100;20;120;21120;1;20;3;y;20;153;0h 2m 33s;;cresco6x327; 158072973567;174551719162;220589496995;237527868855; 49106147114;51478636688;58479312078; 61009190640;IMeCOFT2_nf2_cp100_tnp120_ms21120_single_lby_r1_W20_20231121_222710
IMeCO;2;2;single;100;20;120;21120;1;20;3;y;20;153;0h 2m 33s;;cresco6x162; 15857311028;30897079777;1179620881;17846344266; 5735387712;7373725926;61127791971; 63211526649;IMeCOFT2_nf2_cp100_tnp120_ms21120_single_lby_r1_W20_20231121_222710
IMeCO;2;2;single;100;20;120;21120;1;20;3;y;20;153;0h 2m 33s;;cresco6x203; 2957284055;18955773555;97930331023;112770330753; 14931291190;17264314138;55122140070; 56273953049;IMeCOFT2_nf2_cp100_tnp120_ms21120_single_lby_r1_W20_20231121_222710
IMeCO;1;1;single;100;10;110;21120;1;20;3;y;19;142;0h 2m 22s;;cresco6x177; 257225513681;10480741113;169307752911;184878513526; 49767850006;52172785861;54273714021; 57075048839;IMeCOFT1_nf1_cp100_tnp110_ms21120_single_lby_r1_W20_20231121_222710
IMeCO;1;1;single;100;10;110;21120;1;20;3;y;19;142;0h 2m 22s;;cresco6x074; 219816383923;233832830585;229562094509;244784532529; 20497867515;22269094017;18666874486; 20714119643;IMeCOFT1_nf1_cp100_tnp110_ms21120_single_lby_r1_W20_20231121_222710
IMeCO;1;1;single;100;10;110;21120;1;20;3;y;19;142;0h 2m 22s;;cresco6x162; 242718542945;255226128357;226247142546;240317712299; 1567428512;3079429806;58069350505; 59194709615;IMeCOFT1_nf1_cp100_tnp110_ms21120_single_lby_r1_W20_20231121_222710
