ALGORITHM  PRECISION  FT  NF  CPROCS  SPROCS  TPROCS  MATSIZE NODES  FL  FR  SPK-CP  BKF  SBAL  NxSOCK  R   WT   JOB_NAME                                                                                            
IMeCOft    single     8   0   256     128     384     42240   8      2   2   -       -    N     -       1   40   IMeCOFT8_nf0_cp256_tnp384_ms42240_single_lbn_r1_W40_20231226_165107                                 
SPKft      single     8   0   256     8       264     42240   6      2   2   21120   24   N     -       1   40   SPKFT8_nf0_cp256_tnp264_ms42240_single_lbn_r1_W40_20231226_165107                                   
IMeCOft    single     8   8   256     128     384     42240   8      2   2   -       -    N     -       1   40   IMeCOFT8_nf8_cp256_tnp384_ms42240_single_lbn_r1_W40_20231226_165108                                 
SPKft      single     8   8   256     8       264     42240   6      2   2   21120   24   N     -       1   40   SPKFT8_nf8_cp256_tnp264_ms42240_single_lbn_r1_W40_20231226_165108                                   
IMeCOft    double     8   0   256     128     384     42240   8      2   2   -       -    N     -       1   40   IMeCOFT8_nf0_cp256_tnp384_ms42240_double_lbn_r1_W40_20231226_165108                                 
SPKft      double     8   0   256     8       264     42240   6      2   2   21120   24   N     -       1   40   SPKFT8_nf0_cp256_tnp264_ms42240_double_lbn_r1_W40_20231226_165108                                   
IMeCOft    double     8   8   256     128     384     42240   8      2   2   -       -    N     -       1   40   IMeCOFT8_nf8_cp256_tnp384_ms42240_double_lbn_r1_W40_20231226_165108                                 
SPKft      double     8   8   256     8       264     42240   6      2   2   21120   24   N     -       1   40   SPKFT8_nf8_cp256_tnp264_ms42240_double_lbn_r1_W40_20231226_165108                                   
IMeCOft    single     8   0   256     128     384     42240   8      2   2   -       -    Y     24      1   40   IMeCOFT8_nf0_cp256_tnp384_ms42240_single_lby_r1_W40_20231226_165108                                 
SPKft      single     8   0   256     8       264     42240   6      2   2   21120   24   Y     22      1   40   SPKFT8_nf0_cp256_tnp264_ms42240_single_lby_r1_W40_20231226_165108                                   
IMeCOft    single     8   8   256     128     384     42240   8      2   2   -       -    Y     24      1   40   IMeCOFT8_nf8_cp256_tnp384_ms42240_single_lby_r1_W40_20231226_165109                                 
SPKft      single     8   8   256     8       264     42240   6      2   2   21120   24   Y     22      1   40   SPKFT8_nf8_cp256_tnp264_ms42240_single_lby_r1_W40_20231226_165109                                   
IMeCOft    double     8   0   256     128     384     42240   8      2   2   -       -    Y     24      1   40   IMeCOFT8_nf0_cp256_tnp384_ms42240_double_lby_r1_W40_20231226_165109                                 
SPKft      double     8   0   256     8       264     42240   6      2   2   21120   24   Y     22      1   40   SPKFT8_nf0_cp256_tnp264_ms42240_double_lby_r1_W40_20231226_165109                                   
IMeCOft    double     8   8   256     128     384     42240   8      2   2   -       -    Y     24      1   40   IMeCOFT8_nf8_cp256_tnp384_ms42240_double_lby_r1_W40_20231226_165109                                 
SPKft      double     8   8   256     8       264     42240   6      2   2   21120   24   Y     22      1   40   SPKFT8_nf8_cp256_tnp264_ms42240_double_lby_r1_W40_20231226_165109                                   
IMeCOft    single     8   0   256     128     384     36960   8      2   2   -       -    N     -       1   40   IMeCOFT8_nf0_cp256_tnp384_ms36960_single_lbn_r1_W40_20231226_165109                                 
SPKft      single     8   0   256     8       264     36960   6      2   2   18480   22   N     -       1   40   SPKFT8_nf0_cp256_tnp264_ms36960_single_lbn_r1_W40_20231226_165109                                   
IMeCOft    single     8   8   256     128     384     36960   8      2   2   -       -    N     -       1   40   IMeCOFT8_nf8_cp256_tnp384_ms36960_single_lbn_r1_W40_20231226_165110                                 
SPKft      single     8   8   256     8       264     36960   6      2   2   18480   22   N     -       1   40   SPKFT8_nf8_cp256_tnp264_ms36960_single_lbn_r1_W40_20231226_165110                                   
IMeCOft    double     8   0   256     128     384     36960   8      2   2   -       -    N     -       1   40   IMeCOFT8_nf0_cp256_tnp384_ms36960_double_lbn_r1_W40_20231226_165110                                 
SPKft      double     8   0   256     8       264     36960   6      2   2   18480   22   N     -       1   40   SPKFT8_nf0_cp256_tnp264_ms36960_double_lbn_r1_W40_20231226_165110                                   
IMeCOft    double     8   8   256     128     384     36960   8      2   2   -       -    N     -       1   40   IMeCOFT8_nf8_cp256_tnp384_ms36960_double_lbn_r1_W40_20231226_165110                                 
SPKft      double     8   8   256     8       264     36960   6      2   2   18480   22   N     -       1   40   SPKFT8_nf8_cp256_tnp264_ms36960_double_lbn_r1_W40_20231226_165110                                   
IMeCOft    single     8   0   256     128     384     36960   8      2   2   -       -    Y     24      1   40   IMeCOFT8_nf0_cp256_tnp384_ms36960_single_lby_r1_W40_20231226_165110                                 
SPKft      single     8   0   256     8       264     36960   6      2   2   18480   22   Y     22      1   40   SPKFT8_nf0_cp256_tnp264_ms36960_single_lby_r1_W40_20231226_165110                                   
IMeCOft    single     8   8   256     128     384     36960   8      2   2   -       -    Y     24      1   40   IMeCOFT8_nf8_cp256_tnp384_ms36960_single_lby_r1_W40_20231226_165111                                 
SPKft      single     8   8   256     8       264     36960   6      2   2   18480   22   Y     22      1   40   SPKFT8_nf8_cp256_tnp264_ms36960_single_lby_r1_W40_20231226_165111                                   
IMeCOft    double     8   0   256     128     384     36960   8      2   2   -       -    Y     24      1   40   IMeCOFT8_nf0_cp256_tnp384_ms36960_double_lby_r1_W40_20231226_165111                                 
SPKft      double     8   0   256     8       264     36960   6      2   2   18480   22   Y     22      1   40   SPKFT8_nf0_cp256_tnp264_ms36960_double_lby_r1_W40_20231226_165111                                   
IMeCOft    double     8   8   256     128     384     36960   8      2   2   -       -    Y     24      1   40   IMeCOFT8_nf8_cp256_tnp384_ms36960_double_lby_r1_W40_20231226_165111                                 
SPKft      double     8   8   256     8       264     36960   6      2   2   18480   22   Y     22      1   40   SPKFT8_nf8_cp256_tnp264_ms36960_double_lby_r1_W40_20231226_165111                                   
IMeCOft    single     8   0   256     128     384     31680   8      2   2   -       -    N     -       1   40   IMeCOFT8_nf0_cp256_tnp384_ms31680_single_lbn_r1_W40_20231226_165111                                 
SPKft      single     8   0   256     8       264     31680   6      2   2   15840   22   N     -       1   40   SPKFT8_nf0_cp256_tnp264_ms31680_single_lbn_r1_W40_20231226_165112                                   
IMeCOft    single     8   8   256     128     384     31680   8      2   2   -       -    N     -       1   40   IMeCOFT8_nf8_cp256_tnp384_ms31680_single_lbn_r1_W40_20231226_165112                                 
SPKft      single     8   8   256     8       264     31680   6      2   2   15840   22   N     -       1   40   SPKFT8_nf8_cp256_tnp264_ms31680_single_lbn_r1_W40_20231226_165112                                   
IMeCOft    double     8   0   256     128     384     31680   8      2   2   -       -    N     -       1   40   IMeCOFT8_nf0_cp256_tnp384_ms31680_double_lbn_r1_W40_20231226_165112                                 
SPKft      double     8   0   256     8       264     31680   6      2   2   15840   22   N     -       1   40   SPKFT8_nf0_cp256_tnp264_ms31680_double_lbn_r1_W40_20231226_165112                                   
IMeCOft    double     8   8   256     128     384     31680   8      2   2   -       -    N     -       1   40   IMeCOFT8_nf8_cp256_tnp384_ms31680_double_lbn_r1_W40_20231226_165112                                 
SPKft      double     8   8   256     8       264     31680   6      2   2   15840   22   N     -       1   40   SPKFT8_nf8_cp256_tnp264_ms31680_double_lbn_r1_W40_20231226_165112                                   
IMeCOft    single     8   0   256     128     384     31680   8      2   2   -       -    Y     24      1   40   IMeCOFT8_nf0_cp256_tnp384_ms31680_single_lby_r1_W40_20231226_165112                                 
SPKft      single     8   0   256     8       264     31680   6      2   2   15840   22   Y     22      1   40   SPKFT8_nf0_cp256_tnp264_ms31680_single_lby_r1_W40_20231226_165113                                   
IMeCOft    single     8   8   256     128     384     31680   8      2   2   -       -    Y     24      1   40   IMeCOFT8_nf8_cp256_tnp384_ms31680_single_lby_r1_W40_20231226_165113                                 
SPKft      single     8   8   256     8       264     31680   6      2   2   15840   22   Y     22      1   40   SPKFT8_nf8_cp256_tnp264_ms31680_single_lby_r1_W40_20231226_165113                                   
IMeCOft    double     8   0   256     128     384     31680   8      2   2   -       -    Y     24      1   40   IMeCOFT8_nf0_cp256_tnp384_ms31680_double_lby_r1_W40_20231226_165113                                 
