jobid	nodename	tempo	timestamp_measure	sys_power	cpu_power	mem_power	sys_util	cpu_util	mem_util	io_util	amb_temp	cpu1_temp	cpu2_temp	exh_temp	sysairflow	fan1a	fan1b	fan2a	fan2b	fan3a	fan3b	fan4a	fan4b	fan5a	fan5b	dcenergy	note	delta_e
900211	cresco6x256	Tue  5 Dec 19:39:07 CET 2023	1701801547	80.00	50.00	5.00	67.00	97.00	18.00	0.00	17.00	65.00	57.00	42.00	17.00	6144.00000	6272.00000	8320.00000	8704.00000	8320.00000	8704.00000	8320.00000	8704.00000	6272.00000	6272.00000	193.33638		0.00005
900211	cresco6x214	Tue  5 Dec 19:39:07 CET 2023	1701801547	130.00	100.00	10.00	64.00	97.00	0.00	0.00	17.00	56.00	51.00	36.00	23.00	6144.00000	6272.00000	8320.00000	8704.00000	8320.00000	8704.00000	8320.00000	8704.00000	6144.00000	6272.00000	200.64694		0.00008
900211	cresco6x193	Tue  5 Dec 19:39:07 CET 2023	1701801547	130.00	90.00	10.00	92.00	98.00	0.00	0.00	17.00	57.00	48.00	34.00	23.00	6144.00000	6272.00000	8192.00000	8448.00000	8192.00000	8576.00000	8192.00000	8576.00000	6144.00000	6272.00000	208.27340		0.00008
900211	cresco6x029	Tue  5 Dec 19:39:08 CET 2023	1701801548	140.00	100.00	10.00	76.00	94.00	48.00	0.00	16.00	55.00	54.00	56.00	13.00	7424.00000	7552.00000	10112.00000	0.00000	10112.00000	10624.00000	10112.00000	10624.00000	7424.00000	7552.00000	223.15190		0.00007
900211	cresco6x128	Tue  5 Dec 19:39:09 CET 2023	1701801549	130.00	100.00	9.00	86.00	98.00	0.00	0.00	17.00	53.00	50.00	37.00	23.00	6144.00000	6272.00000	8448.00000	8832.00000	8448.00000	8832.00000	8448.00000	8704.00000	6272.00000	6272.00000	198.86392		0.00007
900211	cresco6x018	Tue  5 Dec 19:39:09 CET 2023	1701801549	130.00	100.00	8.00	92.00	97.00	0.00	0.00	17.00	59.00	55.00	27.00	22.00	5760.00000	5888.00000	7680.00000	8064.00000	7808.00000	8064.00000	7808.00000	8064.00000	6016.00000	6016.00000	209.07548		0.00007
900211	cresco6x106	Tue  5 Dec 19:39:09 CET 2023	1701801549	130.00	100.00	8.00	96.00	98.00	0.00	0.00	17.00	56.00	52.00	54.00	13.00	7040.00000	7168.00000	9472.00000	0.00000	9600.00000	9984.00000	9472.00000	10112.00000	7040.00000	7168.00000	204.11106		0.00008
900211	cresco6x301	Tue  5 Dec 19:39:09 CET 2023	1701801549	80.00	50.00	4.00	99.00	98.00	0.00	0.00	17.00	48.00	47.00	40.00	20.00	6400.00000	5504.00000	8448.00000	8064.00000	8320.00000	8064.00000	8320.00000	8064.00000	6400.00000	5504.00000	213.77142		0.00005
900211	cresco6x214	Tue  5 Dec 19:39:09 CET 2023	1701801549	130.00	100.00	10.00	64.00	69.00	0.00	0.00	17.00	56.00	51.00	36.00	23.00	6144.00000	6272.00000	8320.00000	8704.00000	8320.00000	8704.00000	8320.00000	8704.00000	6144.00000	6272.00000	200.64701		0.00007
900211	cresco6x256	Tue  5 Dec 19:39:09 CET 2023	1701801549	80.00	50.00	5.00	67.00	97.00	18.00	0.00	17.00	65.00	48.00	42.00	17.00	6144.00000	6272.00000	8320.00000	8576.00000	8064.00000	8320.00000	7936.00000	8320.00000	6144.00000	6144.00000	193.33642		0.00004
900211	cresco6x193	Tue  5 Dec 19:39:10 CET 2023	1701801550	130.00	90.00	10.00	92.00	98.00	0.00	0.00	17.00	52.00	48.00	34.00	17.00	6144.00000	6272.00000	8192.00000	8448.00000	8192.00000	8576.00000	8192.00000	8576.00000	6144.00000	6272.00000	208.27351		0.00011
900211	cresco6x106	Tue  5 Dec 19:39:07 CET 2023	1701801547	130.00	100.00	8.00	99.00	98.00	0.00	0.00	17.00	56.00	52.00	54.00	13.00	6784.00000	6912.00000	9216.00000	0.00000	9344.00000	9856.00000	9344.00000	9856.00000	6912.00000	7040.00000	204.11098		0.00007
900211	cresco6x018	Tue  5 Dec 19:39:07 CET 2023	1701801547	140.00	100.00	8.00	98.00	97.00	0.00	0.00	17.00	59.00	55.00	27.00	22.00	5760.00000	5888.00000	7680.00000	8064.00000	7808.00000	8064.00000	7808.00000	8064.00000	6016.00000	6016.00000	209.07541		0.00008
900211	cresco6x301	Tue  5 Dec 19:39:07 CET 2023	1701801547	80.00	50.00	4.00	99.00	98.00	0.00	0.00	17.00	58.00	47.00	40.00	20.00	6400.00000	5504.00000	8448.00000	8064.00000	8320.00000	8064.00000	8320.00000	8064.00000	6400.00000	5504.00000	213.77137		0.00006
900211	cresco6x128	Tue  5 Dec 19:39:06 CET 2023	1701801546	130.00	100.00	9.00	86.00	98.00	0.00	0.00	17.00	60.00	50.00	37.00	23.00	6144.00000	6272.00000	8448.00000	8832.00000	8448.00000	8832.00000	8448.00000	8704.00000	6272.00000	6272.00000	198.86385		0.00008
900211	cresco6x029	Tue  5 Dec 19:39:06 CET 2023	1701801546	140.00	100.00	10.00	76.00	98.00	48.00	0.00	16.00	55.00	54.00	56.00	13.00	7552.00000	7680.00000	10240.00000	0.00000	10112.00000	10752.00000	10240.00000	10624.00000	7552.00000	7680.00000	223.15183		0.00008
900211	cresco6x193	Tue  5 Dec 19:39:05 CET 2023	1701801545	130.00	90.00	10.00	92.00	98.00	0.00	0.00	17.00	57.00	55.00	34.00	23.00	7040.00000	7040.00000	9216.00000	9728.00000	9216.00000	9728.00000	9216.00000	9728.00000	7040.00000	7168.00000	208.27332		0.00007
900211	cresco6x214	Tue  5 Dec 19:39:04 CET 2023	1701801544	130.00	100.00	10.00	64.00	97.00	0.00	0.00	17.00	63.00	51.00	36.00	23.00	6144.00000	6272.00000	8320.00000	8704.00000	8320.00000	8704.00000	8320.00000	8704.00000	6144.00000	6272.00000	200.64686		0.00011
900211	cresco6x106	Tue  5 Dec 19:39:04 CET 2023	1701801544	130.00	100.00	8.00	99.00	98.00	0.00	0.00	17.00	56.00	52.00	54.00	13.00	6784.00000	6912.00000	9216.00000	0.00000	9344.00000	9856.00000	9344.00000	9856.00000	6912.00000	7040.00000	204.11091		0.00012
900211	cresco6x256	Tue  5 Dec 19:39:04 CET 2023	1701801544	80.00	50.00	5.00	67.00	97.00	22.00	0.00	17.00	65.00	57.00	42.00	20.00	6144.00000	6272.00000	8320.00000	8704.00000	8320.00000	8704.00000	8320.00000	8704.00000	6272.00000	6272.00000	193.33633		0.00007
900211	cresco6x018	Tue  5 Dec 19:39:04 CET 2023	1701801544	140.00	100.00	8.00	98.00	97.00	0.00	0.00	17.00	59.00	55.00	27.00	22.00	5760.00000	5888.00000	7680.00000	8064.00000	7808.00000	8064.00000	7808.00000	8064.00000	6016.00000	6016.00000	209.07533		0.00008
900211	cresco6x301	Tue  5 Dec 19:39:04 CET 2023	1701801544	90.00	60.00	5.00	99.00	98.00	0.00	0.00	17.00	58.00	54.00	40.00	20.00	6400.00000	5504.00000	8448.00000	8064.00000	8320.00000	8064.00000	8320.00000	8064.00000	6400.00000	5504.00000	213.77131		0.00005
900211	cresco6x128	Tue  5 Dec 19:39:04 CET 2023	1701801544	120.00	90.00	9.00	82.00	98.00	0.00	0.00	17.00	60.00	58.00	37.00	23.00	6144.00000	6272.00000	8448.00000	8832.00000	8448.00000	8832.00000	8448.00000	8704.00000	6272.00000	6272.00000	198.86377		0.00011
900211	cresco6x029	Tue  5 Dec 19:39:04 CET 2023	1701801544	120.00	90.00	10.00	76.00	98.00	48.00	0.00	16.00	60.00	57.00	56.00	13.00	7552.00000	7680.00000	10240.00000	0.00000	10112.00000	10752.00000	10240.00000	10624.00000	7552.00000	7680.00000	223.15175		0.00011
900211	cresco6x193	Tue  5 Dec 19:39:02 CET 2023	1701801542	260.00	210.00	13.00	87.00	98.00	0.00	0.00	17.00	57.00	55.00	34.00	21.00	7040.00000	7040.00000	9216.00000	9728.00000	9216.00000	9728.00000	9216.00000	9728.00000	7040.00000	7168.00000	208.27325		0.00019
900211	cresco6x018	Tue  5 Dec 19:39:02 CET 2023	1701801542	270.00	220.00	11.00	98.00	97.00	0.00	0.00	17.00	59.00	55.00	37.00	22.00	5760.00000	5888.00000	7680.00000	8064.00000	7808.00000	8064.00000	7808.00000	8064.00000	6016.00000	6016.00000	209.07525		0.00011
900211	cresco6x214	Tue  5 Dec 19:39:02 CET 2023	1701801542	260.00	210.00	13.00	64.00	97.00	0.00	0.00	17.00	63.00	56.00	36.00	23.00	6144.00000	6272.00000	8320.00000	8704.00000	8320.00000	8704.00000	8320.00000	8704.00000	6144.00000	6272.00000	200.64675		0.00012
900211	cresco6x256	Tue  5 Dec 19:39:02 CET 2023	1701801542	290.00	240.00	17.00	67.00	97.00	22.00	0.00	17.00	65.00	57.00	42.00	20.00	6144.00000	6272.00000	8320.00000	8704.00000	8320.00000	8704.00000	8320.00000	8704.00000	6272.00000	6272.00000	193.33626		0.00016
900211	cresco6x106	Tue  5 Dec 19:39:02 CET 2023	1701801542	260.00	210.00	12.00	99.00	98.00	0.00	0.00	17.00	56.00	52.00	54.00	13.00	6784.00000	6912.00000	9216.00000	0.00000	9344.00000	9856.00000	9344.00000	9856.00000	6912.00000	7040.00000	204.11079		0.00015
900211	cresco6x301	Tue  5 Dec 19:39:02 CET 2023	1701801542	270.00	220.00	12.00	99.00	98.00	0.00	0.00	17.00	58.00	54.00	40.00	20.00	6400.00000	5504.00000	8448.00000	8064.00000	8320.00000	8064.00000	8320.00000	8064.00000	6400.00000	5504.00000	213.77126		0.00018
900211	cresco6x029	Tue  5 Dec 19:39:01 CET 2023	1701801541	320.00	250.00	29.00	90.00	98.00	81.00	0.00	16.00	60.00	57.00	56.00	13.00	7552.00000	7680.00000	10240.00000	0.00000	10112.00000	10752.00000	10240.00000	10624.00000	7552.00000	7680.00000	223.15164		0.00019
900211	cresco6x128	Tue  5 Dec 19:39:01 CET 2023	1701801541	260.00	220.00	12.00	82.00	98.00	0.00	0.00	17.00	60.00	58.00	37.00	23.00	6144.00000	6272.00000	8448.00000	8832.00000	8448.00000	8832.00000	8448.00000	8704.00000	6272.00000	6272.00000	198.86366		0.00015
900211	cresco6x018	Tue  5 Dec 19:39:00 CET 2023	1701801540	270.00	220.00	11.00	98.00	97.00	0.00	0.00	17.00	59.00	55.00	37.00	22.00	5760.00000	5888.00000	7680.00000	8064.00000	7808.00000	8064.00000	7808.00000	8064.00000	6016.00000	6016.00000	209.07514		0.00024
900211	cresco6x193	Tue  5 Dec 19:39:00 CET 2023	1701801540	260.00	210.00	13.00	87.00	98.00	0.00	0.00	17.00	57.00	55.00	34.00	21.00	7040.00000	7040.00000	9216.00000	9728.00000	9216.00000	9728.00000	9216.00000	9728.00000	7040.00000	7168.00000	208.27306		0.00015
900211	cresco6x106	Tue  5 Dec 19:39:00 CET 2023	1701801540	260.00	210.00	11.00	99.00	98.00	0.00	0.00	17.00	56.00	52.00	54.00	12.00	6784.00000	6912.00000	9216.00000	0.00000	9344.00000	9856.00000	9344.00000	9856.00000	6912.00000	7040.00000	204.11064		0.00014
900211	cresco6x214	Tue  5 Dec 19:39:00 CET 2023	1701801540	260.00	210.00	13.00	58.00	97.00	0.00	0.00	17.00	63.00	56.00	36.00	23.00	6144.00000	6272.00000	8320.00000	8704.00000	8320.00000	8704.00000	8320.00000	8704.00000	6144.00000	6272.00000	200.64663		0.00014
900211	cresco6x256	Tue  5 Dec 19:39:00 CET 2023	1701801540	300.00	240.00	19.00	67.00	97.00	22.00	0.00	17.00	64.00	57.00	44.00	20.00	6144.00000	6272.00000	8320.00000	8704.00000	8320.00000	8704.00000	8320.00000	8704.00000	6272.00000	6272.00000	193.33610		0.00017
900211	cresco6x301	Tue  5 Dec 19:38:59 CET 2023	1701801539	270.00	220.00	12.00	99.00	98.00	0.00	0.00	17.00	58.00	54.00	40.00	20.00	6400.00000	5504.00000	8448.00000	8064.00000	8320.00000	8064.00000	8320.00000	8064.00000	6400.00000	5504.00000	213.77108		0.00015
900211	cresco6x128	Tue  5 Dec 19:38:59 CET 2023	1701801539	260.00	220.00	12.00	82.00	98.00	0.00	0.00	17.00	60.00	58.00	37.00	23.00	6144.00000	6272.00000	8448.00000	8832.00000	8448.00000	8832.00000	8448.00000	8704.00000	6272.00000	6272.00000	198.86351		0.00019
900211	cresco6x029	Tue  5 Dec 19:38:59 CET 2023	1701801539	310.00	250.00	29.00	90.00	98.00	81.00	0.00	16.00	60.00	57.00	56.00	13.00	7552.00000	7680.00000	10240.00000	0.00000	10112.00000	10752.00000	10240.00000	10624.00000	7552.00000	7680.00000	223.15145		0.00017
900211	cresco6x214	Tue  5 Dec 19:38:58 CET 2023	1701801537	260.00	210.00	13.00	58.00	97.00	0.00	0.00	17.00	63.00	56.00	36.00	23.00	6144.00000	6272.00000	8320.00000	8704.00000	8320.00000	8704.00000	8320.00000	8704.00000	6144.00000	6272.00000	200.64649		0.00015
900211	cresco6x018	Tue  5 Dec 19:38:57 CET 2023	1701801537	270.00	220.00	11.00	98.00	97.00	0.00	0.00	17.00	59.00	54.00	37.00	22.00	6144.00000	6272.00000	7680.00000	8192.00000	7808.00000	8064.00000	7808.00000	7936.00000	6272.00000	6272.00000	209.07490		0.00015
900211	cresco6x106	Tue  5 Dec 19:38:57 CET 2023	1701801537	260.00	210.00	11.00	99.00	98.00	0.00	0.00	17.00	56.00	52.00	55.00	12.00	6784.00000	6912.00000	9216.00000	0.00000	9344.00000	9856.00000	9344.00000	9856.00000	6912.00000	7040.00000	204.11050		0.00015
