jobid	nodename	tempo	timestamp_measure	sys_power	cpu_power	mem_power	sys_util	cpu_util	mem_util	io_util	amb_temp	cpu1_temp	cpu2_temp	exh_temp	sysairflow	fan1a	fan1b	fan2a	fan2b	fan3a	fan3b	fan4a	fan4b	fan5a	fan5b	dcenergy	note	delta_e
879962	cresco6x114	Tue 21 Nov 22:30:06 CET 2023	1700602206	130.00	80.00	10.00	72.00	97.00	17.00	0.00	19.00	70.00	60.00	41.00	23.00	6144.00000	6272.00000	8448.00000	8832.00000	8448.00000	8704.00000	8320.00000	8832.00000	6144.00000	6272.00000	1858.43065		0.00000
879962	cresco6x186	Tue 21 Nov 22:30:06 CET 2023	1700602206	260.00	210.00	13.00	99.00	98.00	0.00	0.00	19.00	57.00	56.00	38.00	23.00	6400.00000	5504.00000	8320.00000	8064.00000	8448.00000	8064.00000	8320.00000	8064.00000	6400.00000	5504.00000	114.15370		0.00000
879962	cresco6x114	Tue 21 Nov 22:30:05 CET 2023	1700602205	270.00	220.00	14.00	72.00	97.00	17.00	0.00	19.00	70.00	66.00	41.00	23.00	6144.00000	6272.00000	8448.00000	8832.00000	8448.00000	8704.00000	8320.00000	8832.00000	6144.00000	6272.00000	1858.43065		0.00017
879962	cresco6x186	Tue 21 Nov 22:30:05 CET 2023	1700602205	260.00	210.00	13.00	99.00	98.00	0.00	0.00	19.00	57.00	56.00	38.00	23.00	6400.00000	5504.00000	8320.00000	8064.00000	8448.00000	8064.00000	8320.00000	8064.00000	6400.00000	5504.00000	114.15370		0.00007
879962	cresco6x184	Tue 21 Nov 22:30:05 CET 2023	1700602205	130.00	100.00	10.00	8.00	7.00	0.00	0.00	18.00	38.00	34.00	28.00	23.00	6272.00000	6272.00000	8320.00000	8832.00000	8448.00000	8832.00000	8448.00000	8832.00000	6144.00000	6272.00000	105.33733		0.00004
879962	cresco6x114	Tue 21 Nov 22:30:04 CET 2023	1700602204	290.00	230.00	18.00	72.00	97.00	17.00	0.00	19.00	70.00	66.00	41.00	23.00	6144.00000	6272.00000	8448.00000	8832.00000	8448.00000	8704.00000	8320.00000	8832.00000	6144.00000	6272.00000	1858.43048		0.00000
879962	cresco6x186	Tue 21 Nov 22:30:04 CET 2023	1700602204	260.00	210.00	13.00	99.00	98.00	0.00	0.00	19.00	57.00	56.00	38.00	23.00	6400.00000	5504.00000	8320.00000	8064.00000	8448.00000	8064.00000	8320.00000	8064.00000	6400.00000	5504.00000	114.15363		0.00015
879962	cresco6x184	Tue 21 Nov 22:30:04 CET 2023	1700602204	130.00	100.00	10.00	8.00	7.00	0.00	0.00	18.00	38.00	34.00	28.00	23.00	6272.00000	6272.00000	8320.00000	8832.00000	8448.00000	8832.00000	8448.00000	8832.00000	6144.00000	6272.00000	105.33729		0.00003
879962	cresco6x114	Tue 21 Nov 22:30:03 CET 2023	1700602203	290.00	230.00	20.00	75.00	97.00	37.00	0.00	19.00	70.00	66.00	41.00	23.00	6144.00000	6272.00000	8448.00000	8832.00000	8448.00000	8704.00000	8320.00000	8832.00000	6144.00000	6272.00000	1858.43048		0.00008
879962	cresco6x184	Tue 21 Nov 22:30:03 CET 2023	1700602203	130.00	100.00	10.00	8.00	7.00	0.00	0.00	18.00	38.00	34.00	28.00	23.00	6272.00000	6272.00000	8320.00000	8832.00000	8448.00000	8832.00000	8448.00000	8832.00000	6144.00000	6272.00000	105.33726		0.00004
879962	cresco6x186	Tue 21 Nov 22:30:03 CET 2023	1700602203	260.00	210.00	13.00	99.00	98.00	0.00	0.00	19.00	57.00	56.00	38.00	23.00	6400.00000	5504.00000	8320.00000	8064.00000	8448.00000	8064.00000	8320.00000	8064.00000	6400.00000	5504.00000	114.15348		0.00000
879962	cresco6x114	Tue 21 Nov 22:30:02 CET 2023	1700602202	290.00	230.00	20.00	75.00	97.00	37.00	0.00	19.00	70.00	66.00	41.00	23.00	6144.00000	6272.00000	8448.00000	8832.00000	8448.00000	8704.00000	8320.00000	8832.00000	6144.00000	6272.00000	1858.43040		0.00017
