jobid,energy_from_delta_e,energy_from_subtraction,mean_sys_power,max_sys_power,energy_equal,error_code,runtime,matrix_size,precision,balanced,rank_assignment,number_of_nodes,total_proc,algorithm,mean_sys_power_from_delta_e
880009,0.007170,0.007170,631.190476,840,True,0.000000,35.000000,26400.000000,single,n,f,3.000000,104.000000,SPK,737.485714
880010,0.088170,0.088170,893.248588,1030,True,0.000000,348.000000,26400.000000,single,n,f,3.000000,140.000000,IMeCO,912.103448
880011,0.006710,0.006710,632.631579,850,True,-99.000000,32.000000,26400.000000,single,n,f,3.000000,104.000000,SPK,754.875000
880012,0.116130,0.116130,1172.372881,1360,True,0.000000,348.000000,26400.000000,single,n,f,4.000000,180.000000,IMeCO,1201.344828
880013,0.007310,0.007310,643.902439,860,True,0.000000,35.000000,26400.000000,single,n,f,3.000000,108.000000,SPK,751.885714
880014,0.117170,0.117170,1182.905028,1360,True,0.000000,352.000000,26400.000000,single,n,f,4.000000,180.000000,IMeCO,1198.329545
880015,0.006990,0.006990,654.615385,840,True,-99.000000,32.000000,26400.000000,single,n,f,3.000000,108.000000,SPK,786.375000
880016,0.147880,0.147880,749.462518,820,True,0.000000,700.000000,26400.000000,double,n,f,3.000000,100.000000,IMeCO,760.525714
880017,0.011950,0.011950,697.301587,840,True,0.000000,56.000000,26400.000000,double,n,f,3.000000,100.000000,SPK,768.214286
880018,0.150010,0.150010,765.370370,860,True,0.000000,695.000000,26400.000000,double,n,f,3.000000,110.000000,IMeCO,777.030216
880019,0.012570,0.012570,701.384615,870,True,0.000000,58.000000,26400.000000,double,n,f,3.000000,101.000000,SPK,780.206897
880020,0.152720,0.152720,763.468531,850,True,0.000000,710.000000,26400.000000,double,n,f,3.000000,110.000000,IMeCO,774.354930
880021,0.012490,0.012490,687.424242,850,True,-99.000000,59.000000,26400.000000,double,n,f,3.000000,101.000000,SPK,762.101695
880022,0.161410,0.161410,818.079659,910,True,0.000000,696.000000,26400.000000,double,n,f,3.000000,120.000000,IMeCO,834.879310
880023,0.012230,0.012230,706.031746,870,True,0.000000,56.000000,26400.000000,double,n,f,3.000000,102.000000,SPK,786.214286
880024,0.161480,0.161480,829.344729,900,True,0.000000,697.000000,26400.000000,double,n,f,3.000000,120.000000,IMeCO,834.043042
880025,0.011990,0.011990,700.322581,870,True,-99.000000,55.000000,26400.000000,double,n,f,3.000000,102.000000,SPK,784.800000
880026,0.178440,0.178440,916.495726,1000,True,0.000000,697.000000,26400.000000,double,n,f,3.000000,140.000000,IMeCO,921.641320
880027,0.012250,0.012250,682.461538,860,True,0.000000,58.000000,26400.000000,double,n,f,3.000000,104.000000,SPK,760.344828
