ALGORITHM  PRECISION  FT  NF  CPROCS  SPROCS  TPROCS  MATSIZE NODES  FL  FR  SPK-CP  BKF  SBAL  NxSOCK  R   WT   JOB_NAME                                                                                            
IMeCOft    single     8   0   400     160     560     15840   12     2   2   -       -    Y     24      1   3    IMeCOFT8_nf0_cp400_tnp560_ms15840_single_lby_r1_W3_20231219_234354                                  
SPKft      single     8   0   400     8       408     15840   9      2   2   7920    24   Y     23      1   3    SPKFT8_nf0_cp400_tnp408_ms15840_single_lby_r1_W3_20231219_234354                                    
IMeCOft    single     8   8   400     160     560     15840   12     2   2   -       -    Y     24      1   3    IMeCOFT8_nf8_cp400_tnp560_ms15840_single_lby_r1_W3_20231219_234354                                  
SPKft      single     8   8   400     8       408     15840   9      2   2   7920    24   Y     23      1   3    SPKFT8_nf8_cp400_tnp408_ms15840_single_lby_r1_W3_20231219_234354                                    
IMeCOft    double     8   0   400     160     560     15840   12     2   2   -       -    Y     24      1   3    IMeCOFT8_nf0_cp400_tnp560_ms15840_double_lby_r1_W3_20231219_234354                                  
SPKft      double     8   0   400     8       408     15840   9      2   2   7920    24   Y     23      1   3    SPKFT8_nf0_cp400_tnp408_ms15840_double_lby_r1_W3_20231219_234355                                    
IMeCOft    double     8   8   400     160     560     15840   12     2   2   -       -    Y     24      1   3    IMeCOFT8_nf8_cp400_tnp560_ms15840_double_lby_r1_W3_20231219_234355                                  
SPKft      double     8   8   400     8       408     15840   9      2   2   7920    24   Y     23      1   3    SPKFT8_nf8_cp400_tnp408_ms15840_double_lby_r1_W3_20231219_234355                                    
IMeCOft    single     8   0   400     160     560     10560   12     2   2   -       -    Y     24      1   3    IMeCOFT8_nf0_cp400_tnp560_ms10560_single_lby_r1_W3_20231219_234355                                  
SPKft      single     8   0   400     8       408     10560   9      2   2   5280    24   Y     23      1   3    SPKFT8_nf0_cp400_tnp408_ms10560_single_lby_r1_W3_20231219_234355                                    
IMeCOft    single     8   8   400     160     560     10560   12     2   2   -       -    Y     24      1   3    IMeCOFT8_nf8_cp400_tnp560_ms10560_single_lby_r1_W3_20231219_234355                                  
SPKft      single     8   8   400     8       408     10560   9      2   2   5280    24   Y     23      1   3    SPKFT8_nf8_cp400_tnp408_ms10560_single_lby_r1_W3_20231219_234355                                    
IMeCOft    double     8   0   400     160     560     10560   12     2   2   -       -    Y     24      1   3    IMeCOFT8_nf0_cp400_tnp560_ms10560_double_lby_r1_W3_20231219_234356                                  
SPKft      double     8   0   400     8       408     10560   9      2   2   5280    24   Y     23      1   3    SPKFT8_nf0_cp400_tnp408_ms10560_double_lby_r1_W3_20231219_234356                                    
IMeCOft    double     8   8   400     160     560     10560   12     2   2   -       -    Y     24      1   3    IMeCOFT8_nf8_cp400_tnp560_ms10560_double_lby_r1_W3_20231219_234356                                  
SPKft      double     8   8   400     8       408     10560   9      2   2   5280    24   Y     23      1   3    SPKFT8_nf8_cp400_tnp408_ms10560_double_lby_r1_W3_20231219_234356                                    
IMeCOft    single     8   0   400     160     560     5280    12     2   2   -       -    Y     24      1   3    IMeCOFT8_nf0_cp400_tnp560_ms5280_single_lby_r1_W3_20231219_234356                                   
SPKft      single     8   0   400     8       408     5280    9      2   2   2640    24   Y     23      1   3    SPKFT8_nf0_cp400_tnp408_ms5280_single_lby_r1_W3_20231219_234356                                     
IMeCOft    single     8   8   400     160     560     5280    12     2   2   -       -    Y     24      1   3    IMeCOFT8_nf8_cp400_tnp560_ms5280_single_lby_r1_W3_20231219_234356                                   
SPKft      single     8   8   400     8       408     5280    9      2   2   2640    24   Y     23      1   3    SPKFT8_nf8_cp400_tnp408_ms5280_single_lby_r1_W3_20231219_234357                                     
IMeCOft    double     8   0   400     160     560     5280    12     2   2   -       -    Y     24      1   3    IMeCOFT8_nf0_cp400_tnp560_ms5280_double_lby_r1_W3_20231219_234357                                   
SPKft      double     8   0   400     8       408     5280    9      2   2   2640    24   Y     23      1   3    SPKFT8_nf0_cp400_tnp408_ms5280_double_lby_r1_W3_20231219_234357                                     
IMeCOft    double     8   8   400     160     560     5280    12     2   2   -       -    Y     24      1   3    IMeCOFT8_nf8_cp400_tnp560_ms5280_double_lby_r1_W3_20231219_234357                                   
SPKft      double     8   8   400     8       408     5280    9      2   2   2640    24   Y     23      1   3    SPKFT8_nf8_cp400_tnp408_ms5280_double_lby_r1_W3_20231219_234357                                     
IMeCOft    single     4   0   400     80      480     15840   10     2   2   -       -    Y     24      1   3    IMeCOFT4_nf0_cp400_tnp480_ms15840_single_lby_r1_W3_20231219_234357                                  
SPKft      single     4   0   400     4       404     15840   9      2   2   7920    24   Y     23      1   3    SPKFT4_nf0_cp400_tnp404_ms15840_single_lby_r1_W3_20231219_234357                                    
IMeCOft    single     4   4   400     80      480     15840   10     2   2   -       -    Y     24      1   3    IMeCOFT4_nf4_cp400_tnp480_ms15840_single_lby_r1_W3_20231219_234357                                  
SPKft      single     4   4   400     4       404     15840   9      2   2   7920    24   Y     23      1   3    SPKFT4_nf4_cp400_tnp404_ms15840_single_lby_r1_W3_20231219_234358                                    
IMeCOft    double     4   0   400     80      480     15840   10     2   2   -       -    Y     24      1   3    IMeCOFT4_nf0_cp400_tnp480_ms15840_double_lby_r1_W3_20231219_234358                                  
SPKft      double     4   0   400     4       404     15840   9      2   2   7920    24   Y     23      1   3    SPKFT4_nf0_cp400_tnp404_ms15840_double_lby_r1_W3_20231219_234358                                    
IMeCOft    double     4   4   400     80      480     15840   10     2   2   -       -    Y     24      1   3    IMeCOFT4_nf4_cp400_tnp480_ms15840_double_lby_r1_W3_20231219_234358                                  
SPKft      double     4   4   400     4       404     15840   9      2   2   7920    24   Y     23      1   3    SPKFT4_nf4_cp400_tnp404_ms15840_double_lby_r1_W3_20231219_234359                                    
IMeCOft    single     4   0   400     80      480     10560   10     2   2   -       -    Y     24      1   3    IMeCOFT4_nf0_cp400_tnp480_ms10560_single_lby_r1_W3_20231219_234359                                  
SPKft      single     4   0   400     4       404     10560   9      2   2   5280    24   Y     23      1   3    SPKFT4_nf0_cp400_tnp404_ms10560_single_lby_r1_W3_20231219_234359                                    
IMeCOft    single     4   4   400     80      480     10560   10     2   2   -       -    Y     24      1   3    IMeCOFT4_nf4_cp400_tnp480_ms10560_single_lby_r1_W3_20231219_234359                                  
SPKft      single     4   4   400     4       404     10560   9      2   2   5280    24   Y     23      1   3    SPKFT4_nf4_cp400_tnp404_ms10560_single_lby_r1_W3_20231219_234400                                    
IMeCOft    double     4   0   400     80      480     10560   10     2   2   -       -    Y     24      1   3    IMeCOFT4_nf0_cp400_tnp480_ms10560_double_lby_r1_W3_20231219_234400                                  
