ALGORITHM  PRECISION  FT  NF  CPROCS  SPROCS  TPROCS  MATSIZE NODES  FL  FR  SPK-CP  BKF  SBAL  NxSOCK  R   WT   JOB_NAME                                                                                            
IMeCOft    single     8   0   484     176     660     5280    14     2   2   -       -    N     -       1   3    IMeCOFT8_nf0_cp484_tnp660_ms5280_single_lbn_r1_W3_20231216_091818                                   
SPKft      single     8   0   484     8       492     5280    11     2   2   2640    24   N     -       1   3    SPKFT8_nf0_cp484_tnp492_ms5280_single_lbn_r1_W3_20231216_091818                                     
IMeCOft    single     8   8   484     176     660     5280    14     2   2   -       -    N     -       1   3    IMeCOFT8_nf8_cp484_tnp660_ms5280_single_lbn_r1_W3_20231216_091818                                   
SPKft      single     8   8   484     8       492     5280    11     2   2   2640    24   N     -       1   3    SPKFT8_nf8_cp484_tnp492_ms5280_single_lbn_r1_W3_20231216_091818                                     
IMeCOft    double     8   0   484     176     660     5280    14     2   2   -       -    N     -       1   3    IMeCOFT8_nf0_cp484_tnp660_ms5280_double_lbn_r1_W3_20231216_091818                                   
SPKft      double     8   0   484     8       492     5280    11     2   2   2640    24   N     -       1   3    SPKFT8_nf0_cp484_tnp492_ms5280_double_lbn_r1_W3_20231216_091818                                     
IMeCOft    double     8   8   484     176     660     5280    14     2   2   -       -    N     -       1   3    IMeCOFT8_nf8_cp484_tnp660_ms5280_double_lbn_r1_W3_20231216_091818                                   
SPKft      double     8   8   484     8       492     5280    11     2   2   2640    24   N     -       1   3    SPKFT8_nf8_cp484_tnp492_ms5280_double_lbn_r1_W3_20231216_091818                                     
IMeCOft    single     8   0   484     176     660     5280    14     2   2   -       -    Y     24      1   3    IMeCOFT8_nf0_cp484_tnp660_ms5280_single_lby_r1_W3_20231216_091818                                   
SPKft      single     8   0   484     8       492     5280    11     2   2   2640    24   Y     23      1   3    SPKFT8_nf0_cp484_tnp492_ms5280_single_lby_r1_W3_20231216_091819                                     
IMeCOft    single     8   8   484     176     660     5280    14     2   2   -       -    Y     24      1   3    IMeCOFT8_nf8_cp484_tnp660_ms5280_single_lby_r1_W3_20231216_091819                                   
SPKft      single     8   8   484     8       492     5280    11     2   2   2640    24   Y     23      1   3    SPKFT8_nf8_cp484_tnp492_ms5280_single_lby_r1_W3_20231216_091819                                     
IMeCOft    double     8   0   484     176     660     5280    14     2   2   -       -    Y     24      1   3    IMeCOFT8_nf0_cp484_tnp660_ms5280_double_lby_r1_W3_20231216_091819                                   
SPKft      double     8   0   484     8       492     5280    11     2   2   2640    24   Y     23      1   3    SPKFT8_nf0_cp484_tnp492_ms5280_double_lby_r1_W3_20231216_091819                                     
IMeCOft    double     8   8   484     176     660     5280    14     2   2   -       -    Y     24      1   3    IMeCOFT8_nf8_cp484_tnp660_ms5280_double_lby_r1_W3_20231216_091819                                   
SPKft      double     8   8   484     8       492     5280    11     2   2   2640    24   Y     23      1   3    SPKFT8_nf8_cp484_tnp492_ms5280_double_lby_r1_W3_20231216_091819                                     
IMeCOft    single     8   0   484     176     660     10560   14     2   2   -       -    N     -       1   3    IMeCOFT8_nf0_cp484_tnp660_ms10560_single_lbn_r1_W3_20231216_091819                                  
SPKft      single     8   0   484     8       492     10560   11     2   2   5280    24   N     -       1   3    SPKFT8_nf0_cp484_tnp492_ms10560_single_lbn_r1_W3_20231216_091820                                    
IMeCOft    single     8   8   484     176     660     10560   14     2   2   -       -    N     -       1   3    IMeCOFT8_nf8_cp484_tnp660_ms10560_single_lbn_r1_W3_20231216_091820                                  
SPKft      single     8   8   484     8       492     10560   11     2   2   5280    24   N     -       1   3    SPKFT8_nf8_cp484_tnp492_ms10560_single_lbn_r1_W3_20231216_091820                                    
IMeCOft    double     8   0   484     176     660     10560   14     2   2   -       -    N     -       1   3    IMeCOFT8_nf0_cp484_tnp660_ms10560_double_lbn_r1_W3_20231216_091820                                  
SPKft      double     8   0   484     8       492     10560   11     2   2   5280    24   N     -       1   3    SPKFT8_nf0_cp484_tnp492_ms10560_double_lbn_r1_W3_20231216_091820                                    
IMeCOft    double     8   8   484     176     660     10560   14     2   2   -       -    N     -       1   3    IMeCOFT8_nf8_cp484_tnp660_ms10560_double_lbn_r1_W3_20231216_091820                                  
