ALGORITHM  PRECISION  FT  NF  CPROCS  SPROCS  TPROCS  MATSIZE NODES  FL  FR  SPK-CP  BKF  SBAL  NxSOCK  R   WT   JOB_NAME                                                                                            
IMeCOft    single     4   0   144     48      192     42240   4      2   2   -       -    N     -       1   60   IMeCOFT4_nf0_cp144_tnp192_ms42240_single_lbn_r1_W60_20240103_225550                                 
IMeCOft    single     4   4   144     48      192     42240   4      2   2   -       -    N     -       1   60   IMeCOFT4_nf4_cp144_tnp192_ms42240_single_lbn_r1_W60_20240103_225550                                 
IMeCOft    double     4   0   144     48      192     42240   4      2   2   -       -    N     -       1   60   IMeCOFT4_nf0_cp144_tnp192_ms42240_double_lbn_r1_W60_20240103_225550                                 
IMeCOft    double     4   4   144     48      192     42240   4      2   2   -       -    N     -       1   60   IMeCOFT4_nf4_cp144_tnp192_ms42240_double_lbn_r1_W60_20240103_225550                                 
IMeCOft    single     4   0   144     48      192     42240   4      2   2   -       -    Y     24      1   60   IMeCOFT4_nf0_cp144_tnp192_ms42240_single_lby_r1_W60_20240103_225550                                 
IMeCOft    single     4   4   144     48      192     42240   4      2   2   -       -    Y     24      1   60   IMeCOFT4_nf4_cp144_tnp192_ms42240_single_lby_r1_W60_20240103_225550                                 
IMeCOft    double     4   0   144     48      192     42240   4      2   2   -       -    Y     24      1   60   IMeCOFT4_nf0_cp144_tnp192_ms42240_double_lby_r1_W60_20240103_225551                                 
IMeCOft    double     4   4   144     48      192     42240   4      2   2   -       -    Y     24      1   60   IMeCOFT4_nf4_cp144_tnp192_ms42240_double_lby_r1_W60_20240103_225551                                 
IMeCOft    single     4   0   144     48      192     36960   4      2   2   -       -    N     -       1   60   IMeCOFT4_nf0_cp144_tnp192_ms36960_single_lbn_r1_W60_20240103_225551                                 
IMeCOft    single     4   4   144     48      192     36960   4      2   2   -       -    N     -       1   60   IMeCOFT4_nf4_cp144_tnp192_ms36960_single_lbn_r1_W60_20240103_225551                                 
IMeCOft    double     4   0   144     48      192     36960   4      2   2   -       -    N     -       1   60   IMeCOFT4_nf0_cp144_tnp192_ms36960_double_lbn_r1_W60_20240103_225551                                 
IMeCOft    double     4   4   144     48      192     36960   4      2   2   -       -    N     -       1   60   IMeCOFT4_nf4_cp144_tnp192_ms36960_double_lbn_r1_W60_20240103_225551                                 
IMeCOft    single     4   0   144     48      192     36960   4      2   2   -       -    Y     24      1   60   IMeCOFT4_nf0_cp144_tnp192_ms36960_single_lby_r1_W60_20240103_225551                                 
IMeCOft    single     4   4   144     48      192     36960   4      2   2   -       -    Y     24      1   60   IMeCOFT4_nf4_cp144_tnp192_ms36960_single_lby_r1_W60_20240103_225551                                 
IMeCOft    double     4   0   144     48      192     36960   4      2   2   -       -    Y     24      1   60   IMeCOFT4_nf0_cp144_tnp192_ms36960_double_lby_r1_W60_20240103_225551                                 
IMeCOft    double     4   4   144     48      192     36960   4      2   2   -       -    Y     24      1   60   IMeCOFT4_nf4_cp144_tnp192_ms36960_double_lby_r1_W60_20240103_225552                                 
IMeCOft    single     4   0   144     48      192     31680   4      2   2   -       -    N     -       1   60   IMeCOFT4_nf0_cp144_tnp192_ms31680_single_lbn_r1_W60_20240103_225552                                 
IMeCOft    single     4   4   144     48      192     31680   4      2   2   -       -    N     -       1   60   IMeCOFT4_nf4_cp144_tnp192_ms31680_single_lbn_r1_W60_20240103_225552                                 
IMeCOft    double     4   0   144     48      192     31680   4      2   2   -       -    N     -       1   60   IMeCOFT4_nf0_cp144_tnp192_ms31680_double_lbn_r1_W60_20240103_225552                                 
IMeCOft    double     4   4   144     48      192     31680   4      2   2   -       -    N     -       1   60   IMeCOFT4_nf4_cp144_tnp192_ms31680_double_lbn_r1_W60_20240103_225552                                 
IMeCOft    single     4   0   144     48      192     31680   4      2   2   -       -    Y     24      1   60   IMeCOFT4_nf0_cp144_tnp192_ms31680_single_lby_r1_W60_20240103_225552                                 
IMeCOft    single     4   4   144     48      192     31680   4      2   2   -       -    Y     24      1   60   IMeCOFT4_nf4_cp144_tnp192_ms31680_single_lby_r1_W60_20240103_225552                                 
IMeCOft    double     4   0   144     48      192     31680   4      2   2   -       -    Y     24      1   60   IMeCOFT4_nf0_cp144_tnp192_ms31680_double_lby_r1_W60_20240103_225553                                 
IMeCOft    double     4   4   144     48      192     31680   4      2   2   -       -    Y     24      1   60   IMeCOFT4_nf4_cp144_tnp192_ms31680_double_lby_r1_W60_20240103_225553                                 
