ALGORITHM  PRECISION  FT  NF  CPROCS  SPROCS  TPROCS  MATSIZE NODES  FL  FR  SPK-CP  BKF  SBAL  NxSOCK  R   WT   JOB_NAME                                                                                            
SPKft      single     2   2   484     2       486     21120   11     2   2   10560   24   N     -       1   7    SPKFT2_nf2_cp484_tnp486_ms21120_single_lbn_r1_W7_20231216_080309                                    
IMeCOft    double     2   0   484     44      528     21120   11     2   2   -       -    N     -       1   7    IMeCOFT2_nf0_cp484_tnp528_ms21120_double_lbn_r1_W7_20231216_080310                                  
SPKft      double     2   0   484     2       486     21120   11     2   2   10560   24   N     -       1   7    SPKFT2_nf0_cp484_tnp486_ms21120_double_lbn_r1_W7_20231216_080310                                    
IMeCOft    double     2   2   484     44      528     21120   11     2   2   -       -    N     -       1   7    IMeCOFT2_nf2_cp484_tnp528_ms21120_double_lbn_r1_W7_20231216_080310                                  
SPKft      double     2   2   484     2       486     21120   11     2   2   10560   24   N     -       1   7    SPKFT2_nf2_cp484_tnp486_ms21120_double_lbn_r1_W7_20231216_080310                                    
IMeCOft    single     2   0   484     44      528     21120   11     2   2   -       -    Y     24      1   7    IMeCOFT2_nf0_cp484_tnp528_ms21120_single_lby_r1_W7_20231216_080310                                  
SPKft      single     2   0   484     2       486     21120   11     2   2   10560   24   Y     23      1   7    SPKFT2_nf0_cp484_tnp486_ms21120_single_lby_r1_W7_20231216_080310                                    
IMeCOft    single     2   2   484     44      528     21120   11     2   2   -       -    Y     24      1   7    IMeCOFT2_nf2_cp484_tnp528_ms21120_single_lby_r1_W7_20231216_080310                                  
SPKft      single     2   2   484     2       486     21120   11     2   2   10560   24   Y     23      1   7    SPKFT2_nf2_cp484_tnp486_ms21120_single_lby_r1_W7_20231216_080310                                    
IMeCOft    double     2   0   484     44      528     21120   11     2   2   -       -    Y     24      1   7    IMeCOFT2_nf0_cp484_tnp528_ms21120_double_lby_r1_W7_20231216_080311                                  
SPKft      double     2   0   484     2       486     21120   11     2   2   10560   24   Y     23      1   7    SPKFT2_nf0_cp484_tnp486_ms21120_double_lby_r1_W7_20231216_080311                                    
IMeCOft    double     2   2   484     44      528     21120   11     2   2   -       -    Y     24      1   7    IMeCOFT2_nf2_cp484_tnp528_ms21120_double_lby_r1_W7_20231216_080311                                  
SPKft      double     2   2   484     2       486     21120   11     2   2   10560   24   Y     23      1   7    SPKFT2_nf2_cp484_tnp486_ms21120_double_lby_r1_W7_20231216_080311                                    
