ALGORITHM  PRECISION  FT  NF  CPROCS  SPROCS  TPROCS  MATSIZE NODES  FL  FR  SPK-CP  BKF  SBAL  NxSOCK  R   WT   JOB_NAME                                                                                            
IMeCOft    single     8   0   576     192     768     36960   16     2   2   -       -    N     -       1   10   IMeCOFT8_nf0_cp576_tnp768_ms36960_single_lbn_r1_W10_20231209_004116                                 
SPKft      single     8   0   576     8       584     36960   13     2   2   18480   22   N     -       1   10   SPKFT8_nf0_cp576_tnp584_ms36960_single_lbn_r1_W10_20231209_004117                                   
IMeCOft    single     8   8   576     192     768     36960   16     2   2   -       -    N     -       1   10   IMeCOFT8_nf8_cp576_tnp768_ms36960_single_lbn_r1_W10_20231209_004117                                 
SPKft      single     8   8   576     8       584     36960   13     2   2   18480   22   N     -       1   10   SPKFT8_nf8_cp576_tnp584_ms36960_single_lbn_r1_W10_20231209_004117                                   
IMeCOft    double     8   0   576     192     768     36960   16     2   2   -       -    N     -       1   10   IMeCOFT8_nf0_cp576_tnp768_ms36960_double_lbn_r1_W10_20231209_004117                                 
SPKft      double     8   0   576     8       584     36960   13     2   2   18480   22   N     -       1   10   SPKFT8_nf0_cp576_tnp584_ms36960_double_lbn_r1_W10_20231209_004117                                   
IMeCOft    double     8   8   576     192     768     36960   16     2   2   -       -    N     -       1   10   IMeCOFT8_nf8_cp576_tnp768_ms36960_double_lbn_r1_W10_20231209_004117                                 
SPKft      double     8   8   576     8       584     36960   13     2   2   18480   22   N     -       1   10   SPKFT8_nf8_cp576_tnp584_ms36960_double_lbn_r1_W10_20231209_004117                                   
IMeCOft    single     8   0   576     192     768     36960   16     2   2   -       -    Y     24      1   10   IMeCOFT8_nf0_cp576_tnp768_ms36960_single_lby_r1_W10_20231209_004118                                 
SPKft      single     8   0   576     8       584     36960   13     2   2   18480   22   Y     23      1   10   SPKFT8_nf0_cp576_tnp584_ms36960_single_lby_r1_W10_20231209_004118                                   
IMeCOft    single     8   8   576     192     768     36960   16     2   2   -       -    Y     24      1   10   IMeCOFT8_nf8_cp576_tnp768_ms36960_single_lby_r1_W10_20231209_004118                                 
SPKft      single     8   8   576     8       584     36960   13     2   2   18480   22   Y     23      1   10   SPKFT8_nf8_cp576_tnp584_ms36960_single_lby_r1_W10_20231209_004118                                   
IMeCOft    double     8   0   576     192     768     36960   16     2   2   -       -    Y     24      1   10   IMeCOFT8_nf0_cp576_tnp768_ms36960_double_lby_r1_W10_20231209_004118                                 
SPKft      double     8   0   576     8       584     36960   13     2   2   18480   22   Y     23      1   10   SPKFT8_nf0_cp576_tnp584_ms36960_double_lby_r1_W10_20231209_004118                                   
IMeCOft    double     8   8   576     192     768     36960   16     2   2   -       -    Y     24      1   10   IMeCOFT8_nf8_cp576_tnp768_ms36960_double_lby_r1_W10_20231209_004118                                 
SPKft      double     8   8   576     8       584     36960   13     2   2   18480   22   Y     23      1   10   SPKFT8_nf8_cp576_tnp584_ms36960_double_lby_r1_W10_20231209_004119                                   
IMeCOft    single     4   0   576     96      672     36960   14     2   2   -       -    N     -       1   10   IMeCOFT4_nf0_cp576_tnp672_ms36960_single_lbn_r1_W10_20231209_004119                                 
