ALGORITHM  PRECISION  FT  NF  CPROCS  SPROCS  TPROCS  MATSIZE NODES  FL  FR  SPK-CP  BKF  SBAL  NxSOCK  R   WT   JOB_NAME                                                                                            
IMeCOft    single     8   0   400     160     560     15840   12     2   2   -       -    N     -       1   3    IMeCOFT8_nf0_cp400_tnp560_ms15840_single_lbn_r1_W3_20231219_214733                                  
SPKft      single     8   0   400     8       408     15840   9      2   2   7920    24   N     -       1   3    SPKFT8_nf0_cp400_tnp408_ms15840_single_lbn_r1_W3_20231219_214733                                    
IMeCOft    single     8   8   400     160     560     15840   12     2   2   -       -    N     -       1   3    IMeCOFT8_nf8_cp400_tnp560_ms15840_single_lbn_r1_W3_20231219_214733                                  
SPKft      single     8   8   400     8       408     15840   9      2   2   7920    24   N     -       1   3    SPKFT8_nf8_cp400_tnp408_ms15840_single_lbn_r1_W3_20231219_214733                                    
IMeCOft    double     8   0   400     160     560     15840   12     2   2   -       -    N     -       1   3    IMeCOFT8_nf0_cp400_tnp560_ms15840_double_lbn_r1_W3_20231219_214733                                  
SPKft      double     8   0   400     8       408     15840   9      2   2   7920    24   N     -       1   3    SPKFT8_nf0_cp400_tnp408_ms15840_double_lbn_r1_W3_20231219_214734                                    
IMeCOft    double     8   8   400     160     560     15840   12     2   2   -       -    N     -       1   3    IMeCOFT8_nf8_cp400_tnp560_ms15840_double_lbn_r1_W3_20231219_214734                                  
SPKft      double     8   8   400     8       408     15840   9      2   2   7920    24   N     -       1   3    SPKFT8_nf8_cp400_tnp408_ms15840_double_lbn_r1_W3_20231219_214734                                    
IMeCOft    single     8   0   400     160     560     10560   12     2   2   -       -    N     -       1   3    IMeCOFT8_nf0_cp400_tnp560_ms10560_single_lbn_r1_W3_20231219_214734                                  
SPKft      single     8   0   400     8       408     10560   9      2   2   5280    24   N     -       1   3    SPKFT8_nf0_cp400_tnp408_ms10560_single_lbn_r1_W3_20231219_214734                                    
IMeCOft    single     8   8   400     160     560     10560   12     2   2   -       -    N     -       1   3    IMeCOFT8_nf8_cp400_tnp560_ms10560_single_lbn_r1_W3_20231219_214734                                  
SPKft      single     8   8   400     8       408     10560   9      2   2   5280    24   N     -       1   3    SPKFT8_nf8_cp400_tnp408_ms10560_single_lbn_r1_W3_20231219_214734                                    
IMeCOft    double     8   0   400     160     560     10560   12     2   2   -       -    N     -       1   3    IMeCOFT8_nf0_cp400_tnp560_ms10560_double_lbn_r1_W3_20231219_214734                                  
SPKft      double     8   0   400     8       408     10560   9      2   2   5280    24   N     -       1   3    SPKFT8_nf0_cp400_tnp408_ms10560_double_lbn_r1_W3_20231219_214734                                    
IMeCOft    double     8   8   400     160     560     10560   12     2   2   -       -    N     -       1   3    IMeCOFT8_nf8_cp400_tnp560_ms10560_double_lbn_r1_W3_20231219_214735                                  
SPKft      double     8   8   400     8       408     10560   9      2   2   5280    24   N     -       1   3    SPKFT8_nf8_cp400_tnp408_ms10560_double_lbn_r1_W3_20231219_214735                                    
IMeCOft    single     8   0   400     160     560     5280    12     2   2   -       -    N     -       1   3    IMeCOFT8_nf0_cp400_tnp560_ms5280_single_lbn_r1_W3_20231219_214735                                   
SPKft      single     8   0   400     8       408     5280    9      2   2   2640    24   N     -       1   3    SPKFT8_nf0_cp400_tnp408_ms5280_single_lbn_r1_W3_20231219_214735                                     
IMeCOft    single     8   8   400     160     560     5280    12     2   2   -       -    N     -       1   3    IMeCOFT8_nf8_cp400_tnp560_ms5280_single_lbn_r1_W3_20231219_214735                                   
SPKft      single     8   8   400     8       408     5280    9      2   2   2640    24   N     -       1   3    SPKFT8_nf8_cp400_tnp408_ms5280_single_lbn_r1_W3_20231219_214735                                     
IMeCOft    double     8   0   400     160     560     5280    12     2   2   -       -    N     -       1   3    IMeCOFT8_nf0_cp400_tnp560_ms5280_double_lbn_r1_W3_20231219_214735                                   
SPKft      double     8   0   400     8       408     5280    9      2   2   2640    24   N     -       1   3    SPKFT8_nf0_cp400_tnp408_ms5280_double_lbn_r1_W3_20231219_214736                                     
IMeCOft    double     8   8   400     160     560     5280    12     2   2   -       -    N     -       1   3    IMeCOFT8_nf8_cp400_tnp560_ms5280_double_lbn_r1_W3_20231219_214736                                   
SPKft      double     8   8   400     8       408     5280    9      2   2   2640    24   N     -       1   3    SPKFT8_nf8_cp400_tnp408_ms5280_double_lbn_r1_W3_20231219_214736                                     
IMeCOft    single     4   0   400     80      480     15840   10     2   2   -       -    N     -       1   3    IMeCOFT4_nf0_cp400_tnp480_ms15840_single_lbn_r1_W3_20231219_214736                                  
