ALGORITHM  PRECISION  FT  NF  CPROCS  SPROCS  TPROCS  MATSIZE NODES  FL  FR  SPK-CP  BKF  SBAL  NxSOCK  R   WT   JOB_NAME                                                                                            
IMeCOft    single     8   0   100     80      180     10560   4      2   2   -       -    Y     23      1   8    IMeCOFT8_nf0_cp100_tnp180_ms10560_single_lby_r1_W8_20231211_155103                                  
SPKft      single     8   0   100     8       108     10560   3      2   2   5280    24   Y     18      1   8    SPKFT8_nf0_cp100_tnp108_ms10560_single_lby_r1_W8_20231211_155104                                    
IMeCOft    single     8   8   100     80      180     10560   4      2   2   -       -    Y     23      1   8    IMeCOFT8_nf8_cp100_tnp180_ms10560_single_lby_r1_W8_20231211_155104                                  
SPKft      single     8   8   100     8       108     10560   3      2   2   5280    24   Y     18      1   8    SPKFT8_nf8_cp100_tnp108_ms10560_single_lby_r1_W8_20231211_155104                                    
IMeCOft    double     8   0   100     80      180     10560   4      2   2   -       -    Y     23      1   8    IMeCOFT8_nf0_cp100_tnp180_ms10560_double_lby_r1_W8_20231211_155104                                  
SPKft      double     8   0   100     8       108     10560   3      2   2   5280    24   Y     18      1   8    SPKFT8_nf0_cp100_tnp108_ms10560_double_lby_r1_W8_20231211_155104                                    
IMeCOft    double     8   8   100     80      180     10560   4      2   2   -       -    Y     23      1   8    IMeCOFT8_nf8_cp100_tnp180_ms10560_double_lby_r1_W8_20231211_155104                                  
SPKft      double     8   8   100     8       108     10560   3      2   2   5280    24   Y     18      1   8    SPKFT8_nf8_cp100_tnp108_ms10560_double_lby_r1_W8_20231211_155104                                    
IMeCOft    single     4   0   100     40      140     10560   3      2   2   -       -    Y     24      1   8    IMeCOFT4_nf0_cp100_tnp140_ms10560_single_lby_r1_W8_20231211_155104                                  
SPKft      single     4   0   100     4       104     10560   3      2   2   5280    24   Y     18      1   8    SPKFT4_nf0_cp100_tnp104_ms10560_single_lby_r1_W8_20231211_155105                                    
