ALGORITHM  PRECISION  FT  NF  CPROCS  SPROCS  TPROCS  MATSIZE NODES  FL  FR  SPK-CP  BKF  SBAL  NxSOCK  R   WT   JOB_NAME                                                                                            
IMeCO      single     -   -   576     0       576     21120   12     -   -   -       -    N     -       1   8    IMeCOFT0_cp576_tnp576_ms21120_single_lbn_r1_W8_20231207_235404                                      
SPK        single     -   -   576     0       576     21120   12     -   -   -       -    N     -       1   8    SPKFT0_cp576_tnp576_ms21120_single_lbn_r1_W8_20231207_235404                                        
IMeCOft    single     1   0   576     24      600     21120   13     2   2   -       -    N     -       1   8    IMeCOFT1_nf0_cp576_tnp600_ms21120_single_lbn_r1_W8_20231207_235404                                  
SPKft      single     1   0   576     1       577     21120   13     2   2   10560   22   N     -       1   8    SPKFT1_nf0_cp576_tnp577_ms21120_single_lbn_r1_W8_20231207_235404                                    
IMeCOft    single     1   1   576     24      600     21120   13     2   2   -       -    N     -       1   8    IMeCOFT1_nf1_cp576_tnp600_ms21120_single_lbn_r1_W8_20231207_235404                                  
SPKft      single     1   1   576     1       577     21120   13     2   2   10560   22   N     -       1   8    SPKFT1_nf1_cp576_tnp577_ms21120_single_lbn_r1_W8_20231207_235404                                    
IMeCOft    single     2   0   576     48      624     21120   13     2   2   -       -    N     -       1   8    IMeCOFT2_nf0_cp576_tnp624_ms21120_single_lbn_r1_W8_20231207_235405                                  
SPKft      single     2   0   576     2       578     21120   13     2   2   10560   22   N     -       1   8    SPKFT2_nf0_cp576_tnp578_ms21120_single_lbn_r1_W8_20231207_235405                                    
IMeCOft    single     2   2   576     48      624     21120   13     2   2   -       -    N     -       1   8    IMeCOFT2_nf2_cp576_tnp624_ms21120_single_lbn_r1_W8_20231207_235405                                  
SPKft      single     2   2   576     2       578     21120   13     2   2   10560   22   N     -       1   8    SPKFT2_nf2_cp576_tnp578_ms21120_single_lbn_r1_W8_20231207_235405                                    
IMeCOft    single     4   0   576     96      672     21120   14     2   2   -       -    N     -       1   8    IMeCOFT4_nf0_cp576_tnp672_ms21120_single_lbn_r1_W8_20231207_235405                                  
SPKft      single     4   0   576     4       580     21120   13     2   2   10560   22   N     -       1   8    SPKFT4_nf0_cp576_tnp580_ms21120_single_lbn_r1_W8_20231207_235405                                    
IMeCOft    single     4   4   576     96      672     21120   14     2   2   -       -    N     -       1   8    IMeCOFT4_nf4_cp576_tnp672_ms21120_single_lbn_r1_W8_20231207_235405                                  
SPKft      single     4   4   576     4       580     21120   13     2   2   10560   22   N     -       1   8    SPKFT4_nf4_cp576_tnp580_ms21120_single_lbn_r1_W8_20231207_235405                                    
IMeCOft    single     8   0   576     192     768     21120   16     2   2   -       -    N     -       1   8    IMeCOFT8_nf0_cp576_tnp768_ms21120_single_lbn_r1_W8_20231207_235406                                  
SPKft      single     8   0   576     8       584     21120   13     2   2   10560   22   N     -       1   8    SPKFT8_nf0_cp576_tnp584_ms21120_single_lbn_r1_W8_20231207_235406                                    
IMeCOft    single     8   8   576     192     768     21120   16     2   2   -       -    N     -       1   8    IMeCOFT8_nf8_cp576_tnp768_ms21120_single_lbn_r1_W8_20231207_235406                                  
SPKft      single     8   8   576     8       584     21120   13     2   2   10560   22   N     -       1   8    SPKFT8_nf8_cp576_tnp584_ms21120_single_lbn_r1_W8_20231207_235406                                    
IMeCO      double     -   -   576     0       576     21120   12     -   -   -       -    N     -       1   8    IMeCOFT0_cp576_tnp576_ms21120_double_lbn_r1_W8_20231207_235406                                      
SPK        double     -   -   576     0       576     21120   12     -   -   -       -    N     -       1   8    SPKFT0_cp576_tnp576_ms21120_double_lbn_r1_W8_20231207_235406                                        
IMeCOft    double     1   0   576     24      600     21120   13     2   2   -       -    N     -       1   8    IMeCOFT1_nf0_cp576_tnp600_ms21120_double_lbn_r1_W8_20231207_235406                                  
SPKft      double     1   0   576     1       577     21120   13     2   2   10560   22   N     -       1   8    SPKFT1_nf0_cp576_tnp577_ms21120_double_lbn_r1_W8_20231207_235406                                    
IMeCOft    double     1   1   576     24      600     21120   13     2   2   -       -    N     -       1   8    IMeCOFT1_nf1_cp576_tnp600_ms21120_double_lbn_r1_W8_20231207_235407                                  
SPKft      double     1   1   576     1       577     21120   13     2   2   10560   22   N     -       1   8    SPKFT1_nf1_cp576_tnp577_ms21120_double_lbn_r1_W8_20231207_235407                                    
